	partition_group
AADAT	0
ACTL6B	0
ADAMTS2	0
ADAMTSL1	0
ADAMTSL2	0
ANKRD65	0
ASXL3	0
BASP1	0
BHMT	0
BOC	0
BTBD17	0
CA8	0
CABP7	0
CACNB2	0
CACNG4	0
CAND2	0
CD200	0
CHGB	0
CHL1	0
CLPS	0
CPLX2	0
DACT1	0
DGKB	0
DNAJC12	0
DSCAML1	0
DUSP26	0
ENPP2	0
EYA4	0
FBN1	0
FSTL5	0
GABRB3	0
GALNT16	0
GOLGA6L5	0
GRIK3	0
GRIN1	0
HEPACAM2	0
HES6	0
IGFBPL1	0
ISLR2	0
JAKMIP2	0
KCNJ11	0
KCNK3	0
KCNN3	0
KCTD12	0
KIF19	0
LIMCH1	0
LINC00494	0
LINC00907	0
LOC728392	0
LRRN2	0
LRRTM3	0
LY6H	0
MAP6	0
MARCH4	0
MAST1	0
MMP2	0
MURC	0
NCS1	0
NEUROD1	0
NEUROG3	0
NKX2-2	0
NPSR1-AS1	0
OR51E1	0
PAX6	0
PCDH20	0
PCSK1N	0
PCSK2	0
PDE2A	0
PDE8B	0
PDZRN3	0
PLXNC1	0
PPM1E	0
PRICKLE2	0
PRR18	0
RASD1	0
RET	0
RFX6	0
RGS9	0
RPRML	0
RTN1	0
SCG2	0
SCN3B	0
SEPT5-GP1BB	0
SLC6A17	0
SPAG8	0
SPON2	0
SPTBN4	0
SSTR2	0
ST8SIA3	0
SYT14	0
SYT4	0
TMEM132B	0
TTC7B	0
TUBA3FP	0
TUBB4A	0
VGF	0
VSTM2L	0
VWA5B2	0
WNK2	0
ZDHHC8P1	0
ABLIM2	1
ACSL6	1
ADCY2	1
ADCY5	1
AK056486	1
ANK2	1
ANKRD13B	1
CACNA1C	1
CACNA1E	1
CADM2	1
CLCA1	1
CLCN4	1
COL22A1	1
CPB1	1
FAM171B	1
GATA2	1
GPC6	1
GPR112	1
GPR116	1
GPR142	1
ID4	1
KCNE4	1
KCNMB2	1
KIAA1324	1
KIRREL3	1
LINC00890	1
LOC100216479	1
MAP2	1
MEP1B	1
MIR137HG	1
MMRN1	1
MPP2	1
NHSL2	1
ONECUT1	1
