	ARX	FOXP2	PAX4	SOX4	ZNF846
REACTOME_CARDIAC_CONDUCTION	1	1	1	1	0.635905805337
REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	1	0.515422791724	1	1	1
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	1	1	0.778430551282	1	1
REACTOME_MUSCLE_CONTRACTION	1	1	1	1	0.846461417977
REACTOME_NEURONAL_SYSTEM	0.567923764655	0.367338447822	0.356455056868	0.0648906141285	1
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	1	0.373437305774	1	1	1
REACTOME_PEPTIDE_HORMONE_METABOLISM	1	1	1	0.00492719888926	1
REACTOME_POTASSIUM_CHANNELS	1	1	1	0.0205706099296	1
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	1	0.164896062514	1	1	1
