	ARX	FOXP2	PAX4	SOX4	ZNF846
REACTOME_CARDIAC_CONDUCTION	4	0	3	5	7
REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	0	3	0	0	0
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	2	3	5	9	2
REACTOME_MUSCLE_CONTRACTION	4	3	3	6	8
REACTOME_NEURONAL_SYSTEM	10	9	8	20	6
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	5	7	3	8	3
REACTOME_PEPTIDE_HORMONE_METABOLISM	2	3	0	11	0
REACTOME_POTASSIUM_CHANNELS	3	0	4	11	3
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	8	8	5	11	0
