Hormone	CCK	GAST	GCG	GHRL	INS	PYY	SCT	SST	TAC1	CCK	GAST	GCG	GHRL	INS	PYY	SCT	SST	TAC1
	pos	pos	pos	pos	pos	pos	pos	pos	pos	neg	neg	neg	neg	neg	neg	neg	neg	neg
TF																		
ARX	0.25309898100139605	0.5989805349937525	0.4747781379666309	0.92791	0.5976578333867506	0.21382833228963075	0.4593	0.7822466882000001	0.06508899244607708	-0.21593667008830955	-0.24505374856302523	-0.4365006723737217	-0.5707213948360097	-0.2445126074606194	-0.2211561851136454	-0.1736173574998564	-0.21849387192122488	-0.15909587078823448
ASCL1	0.21586558990628066	0.5108645084908215	0.40493352609035976	0.7914051598999999	0.5097363895172257	0.18237204632650317	0.39173237699999996	0.667170377898898	0.10452579251076016	-0.22132664120951323	-0.39352947885163575	-0.37228705846082344	-0.48676257044168425	-0.3926604655136896	-0.18862189872157697	-0.24950940237335503	-0.254349003888462	-0.13569127723657728
ETV1	0.20517215795897165	0.4855575808873354	0.38487414976126955	0.7522009623999999	0.48448534605663535	0.17333779928726623	0.37232695199999993	0.92791	0.0527637408364879	-0.17504690224038724	-0.1986503707351307	-0.3538449050530337	-0.4626495915098628	-0.19821170011187644	-0.17927804990052545	-0.14074117468368352	-0.16981159691059522	-0.12896947669577435
FEV	0.20030383952993686	0.4740362860737181	0.3798566934401283	0.95493	0.4729894931969288	0.1924571083802979	0.36349238994206995	0.6190740653561665	0.1384502596272172	-0.2931595178742377	-0.5212518098091788	-0.4131669548752859	-0.28481246366876317	-0.520100753028186	-0.18608017904223054	-0.33048916165325115	-0.33689948459999997	-0.12590929306059243
INSM1	0.04759073147473931	0.08683972958963107	0.08206029182966025	0.07663892686506048	0.07065523077318114	0.05904616392101268	0.04105677580939318	0.10777068919077816	0.027961992969406383	-0.1425662797151792	-0.10527419363762135	-0.09948016988144645	-0.13850702735562956	-0.15699809266976728	-0.04870664624471996	-0.1607200428106346	-0.12464440775415486	-0.023065594941614035
ISL1	0.0073213211520755375	0.013359356525598949	0.6235692899999999	0.011790072960474728	0.010869545803031873	0.009083615978739223	0.006316142489402241	0.01657935908728381	0.004301651271944941	-0.02193228569738383	-0.01619530015116321	-0.015303952038469721	-0.021307813468429793	-0.02415246458879899	-0.007492992613223585	-0.02472504650651476	-0.99151	-0.0035483932038506325
MAFB	0.007666866840580503	0.013989880436889566	0.653	0.012346531117961244	0.011382557677559482	0.009512337007675143	0.006614246582893241	0.01736185802863436	0.0045046770673713675	-0.02296742766211537	-0.0169596725950208	-0.016026255367901025	-0.02231348210699192	-0.02529239272909951	-0.007846640710024387	-0.025891998896793236	-0.1347561241	-0.0037158673450940214
MLXIPL	0.1582454328481057	0.28875350664903593	0.2728612483529303	0.25483449778898876	0.23493792236876085	0.1963362503192548	0.13651917207352923	0.35835169645134723	0.09297729922659567	-0.474051605091372	-0.3500505208406642	-0.330784630848728	-0.46055405784275305	-0.522039278678484	-0.16195599602553687	-0.5344152517478041	-0.414459026914128	-0.07669613267810745
NEUROD1	0.27276242415901975	0.6455157666085638	0.5116639953946297	0.7823022165	0.64409030335566	0.23044081030448074	0.26288614176442077	0.4477287475917568	0.07014580341420727	-0.2327129463938416	-0.2640921517852219	-0.4704127257748291	-0.6150611533834204	-0.263508969038613	-0.23833796932207363	-0.2341219237052617	-0.39873960255487495	-0.17145614422544692
NEUROD2	0.2113514494902005	0.485054894370816	0.3844756984688641	0.46482418139187753	0.4839837696	0.21638690390290602	0.2382640136083879	0.5019420224	0.14303158194494003	-0.5628544827999999	-0.53850004434382	-0.3866831720694672	-0.7557365293433068	-0.48676257044168425	-0.60948	-0.37407699876860995	-0.6371010089669946	-0.128835957583872
NEUROG3	0.23655832649745573	0.5598356516571327	0.56805123	0.6985839658	0.5585993919243994	0.19985411337510647	0.22799293541587276	0.3883011510169018	0.06083526320623393	-0.20182466599990764	-0.22903887021843758	-0.4079742564082954	-0.5334233173303667	-0.22853309404708505	-0.20670307260050533	-0.20304662799078696	-0.3458143964641205	-0.1486985557879927
PAX4	0.3426448390917904	0.810898519701732	0.6427535900943782	0.9827299999999999	0.8091078492	0.2894803219703294	0.33023822845854	0.562437971976329	0.08811733360242104	-0.292334585005768	-0.33175322126150597	-0.5909336420762881	-0.772641358436556	-0.33102062563735063	-0.29940075286988715	-0.29410454582659595	-0.5008976855158281	-0.21538363698944402
PAX6	0.35296918751439477	0.6397724368	0.75497	0.45975867359519995	0.37853159213991344	0.13976906133377873	0.37773	0.26312999091857514	0.10054740504193871	-0.29330909953190804	-0.3785512355906338	-0.27646135506576053	-0.3938218628060907	-0.3777152980294015	-0.31760612280000006	-0.2760782056078561	-0.3319997067827906	-0.10076470165394039
RORC	0.16944037281276783	0.2785584506200468	0.2807364577221001	0.33758570218938067	0.3819999592	0.1735360022	0.18007318204195166	0.39983211199999996	0.06466394729780278	-0.32969389585473	-0.24345349477234884	-0.23005443386773322	-0.32030660786944254	-0.36306841223231	-0.12409941420000001	-0.37167566665861007	-0.394757392838159	-0.07398821276768201
ST18	0.07035763640729056	0.1665074056378851	0.1319810434361346	0.257944754026208	0.16613971486974144	0.05944099813158935	0.12767835837983998	0.3181988972	0.018093742007648433	-0.0600270837162736	-0.06812118513249103	-0.12134049484078634	-0.1586517979205622	-0.06797075620236467	-0.061478028871888205	-0.04826296362252878	-0.05823179281258132	-0.044226212948514955
