	TF	Hormone	pos	pos_path	pos_node_length	neg	neg_path	neg_node_length
0	NEUROG3	INS	0.5585993919243994	NEUROG3->SOX9->PAX4->FOXB1->INS	5	-0.22853309404708505	NEUROG3->SOX9->PAX4->ASCL1->FEV->ASCL2->FOXB1->INS	8
1	NEUROG3	GCG	0.56805123	NEUROG3->MAFB->GCG	3	-0.4079742564082954	NEUROG3->SOX9->PAX4->FOXB1->TFAP2A->GCG	6
2	NEUROG3	SST	0.3883011510169018	NEUROG3->SOX9->PAX4->ASCL1->ARX->ETV1->SST	7	-0.3458143964641205	NEUROG3->SOX9->PAX4->FOXB1->FEV->ASCL1->ARX->ETV1->SST	9
3	NEUROG3	GHRL	0.6985839658	NEUROG3->SOX9->GHRL	3	-0.5334233173303667	NEUROG3->SOX9->PAX4->FOXB1->FEV->GHRL	6
4	NEUROG3	TAC1	0.06083526320623393	NEUROG3->SOX9->PAX4->ASCL1->FEV->ASCL2->FOXB1->IRX2->TAC1	9	-0.1486985557879927	NEUROG3->SOX9->PAX4->FOXB1->IRX2->TAC1	6
5	NEUROG3	CCK	0.23655832649745573	NEUROG3->SOX9->PAX4->FOXB1->IRX2->EBF1->CCK	7	-0.20182466599990764	NEUROG3->SOX9->PAX4->FOXB1->IRX2->IRX1->FOXE3->FOXJ1->EBF1->CCK	10
6	NEUROG3	PYY	0.19985411337510647	NEUROG3->SOX9->PAX4->FOXB1->IRX2->NEUROD2->PYY	7	-0.20670307260050533	NEUROG3->SOX9->PAX4->FOXB1->IRX2->IRX1->FOXE3->PYY	8
7	NEUROG3	SCT	0.22799293541587276	NEUROG3->SOX9->PAX4->ASCL1->ARX->SCT	6	-0.20304662799078696	NEUROG3->SOX9->PAX4->FOXB1->FEV->ASCL1->ARX->SCT	8
8	NEUROG3	GAST	0.5598356516571327	NEUROG3->SOX9->PAX4->FOXB1->IRX2->GAST	6	-0.22903887021843758	NEUROG3->SOX9->PAX4->ASCL1->FEV->ASCL2->FOXB1->IRX2->GAST	9
9	MAFB	INS	0.011382557677559482	MAFB->INSM1->MLXIPL->LMX1B->HOXD1->EBF1->FOXJ1->FOXB1->INS	9	-0.02529239272909951	MAFB->INSM1->MLXIPL->LMX1B->HOXD1->INS	6
10	MAFB	GCG	0.653	MAFB->GCG	2	-0.016026255367901025	MAFB->INSM1->MLXIPL->LMX1B->HOXD1->EBF1->IRX1->PAX6->GCG	9
11	MAFB	SST	0.01736185802863436	MAFB->INSM1->MLXIPL->LMX1B->HOXD1->EBF1->HOXD4->SST	8	-0.1347561241	MAFB->ISL1->SST	3
12	MAFB	GHRL	0.012346531117961244	MAFB->INSM1->MLXIPL->LMX1B->HOXD1->EBF1->IRX1->FOXE3->FOXP2->GHRL	10	-0.02231348210699192	MAFB->INSM1->MLXIPL->LMX1B->HOXD1->EBF1->GHRL	7
13	MAFB	TAC1	0.0045046770673713675	MAFB->INSM1->MLXIPL->LMX1B->HOXD1->EBF1->IRX1->IRX2->TAC1	9	-0.0037158673450940214	MAFB->INSM1->MLXIPL->LMX1B->HOXD1->IRX1->IRX2->TAC1	8
14	MAFB	CCK	0.007666866840580503	MAFB->INSM1->MLXIPL->LMX1B->HOXD1->IRX1->CCK	7	-0.02296742766211537	MAFB->INSM1->MLXIPL->LMX1B->HOXD1->CCK	6
15	MAFB	PYY	0.009512337007675143	MAFB->INSM1->MLXIPL->LMX1B->HOXD1->EBF1->IRX1->FOXE3->PYY	9	-0.007846640710024387	MAFB->INSM1->MLXIPL->LMX1B->HOXD1->IRX1->FOXE3->PYY	8
