TF	Target	Time	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray	weight	color
RFX6	RTN1	[48, 72, 96]	0.9946799999999999	50.95	0.946	(0.8901960784313725, 0.1411764705882353, 0.14901960784313725)	1.999	None	9	(0.8901960784313725, 0.1411764705882353, 0.14901960784313725)
RFX6	RTN4RL1	[48, 72, 96]	0.9779899999999999	50.87	0.872	(0.8901960784313725, 0.19607843137254902, 0.20392156862745098)	1.9974	None	8	(0.8901960784313725, 0.19607843137254902, 0.20392156862745098)
RFX6	SAMD14	[24, 48, 72, 96]	0.99225	50.93	0.9309999999999999	(0.8901960784313725, 0.15294117647058825, 0.1607843137254902)	1.9986	None	9	(0.8901960784313725, 0.15294117647058825, 0.1607843137254902)
RFX6	SAP30	[24]	0.500010000200004	None	None	m	1.0	None	10	m
RFX6	SCG2	[24, 48, 72, 96]	0.8947200000000001	50.67	0.672	(0.8784313725490196, 0.34901960784313724, 0.35294117647058826)	1.9934	None	6	(0.8784313725490196, 0.34901960784313724, 0.35294117647058826)
RFX6	SCG5	[72, 96]	0.8784700000000001	50.63	0.633	(0.8784313725490196, 0.3764705882352941, 0.3803921568627451)	1.9926	None	6	(0.8784313725490196, 0.3764705882352941, 0.3803921568627451)
RFX6	SCGB1A1	[48, 72, 96]	0.99825	50.97	0.966	(0.8941176470588236, 0.12941176470588237, 0.13333333333333333)	1.9994	None	9	(0.8941176470588236, 0.12941176470588237, 0.13333333333333333)
RFX6	SCGB1C1	[48, 72]	0.99015	50.92	0.922	(0.8901960784313725, 0.1607843137254902, 0.16862745098039217)	1.9984	None	9	(0.8901960784313725, 0.1607843137254902, 0.16862745098039217)
RFX6	SCGN	[24, 48, 72, 96]	0.99825	50.97	0.9740000000000001	(0.8941176470588236, 0.12156862745098039, 0.12941176470588237)	1.9994	None	9	(0.8941176470588236, 0.12156862745098039, 0.12941176470588237)
RFX6	SCUBE3	[96]	0.71986	49.22	0.223	(0.8588235294117647, 0.6823529411764706, 0.6862745098039216)	1.9644	None	2	(0.8588235294117647, 0.6823529411764706, 0.6862745098039216)
RFX6	SDK1	[48, 96]	0.34521	40.03	0.031	(0.8509803921568627, 0.8274509803921568, 0.8274509803921568)	1.7806	None	1	(0.8509803921568627, 0.8274509803921568, 0.8274509803921568)
RFX6	SEPT3	[24, 48, 72, 96]	0.8671	50.6	0.6	(0.8784313725490196, 0.4, 0.40784313725490196)	1.992	2,2	6	(0.8784313725490196, 0.4, 0.40784313725490196)
RFX6	SEPT5-GP1BB	[24, 48, 72, 96]	0.9501	50.79	0.787	(0.8862745098039215, 0.2627450980392157, 0.26666666666666666)	1.9958	2,2	7	(0.8862745098039215, 0.2627450980392157, 0.26666666666666666)
RFX6	SETBP1	[48]	0.20195	35.0	0.0	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)	1.68	None	1	(0.8509803921568627, 0.8509803921568627, 0.8509803921568627)
RFX6	SFRP1	[24, 48, 72, 96]	0.99225	50.93	0.9309999999999999	(0.8901960784313725, 0.15294117647058825, 0.1607843137254902)	1.9986	None	9	(0.8901960784313725, 0.15294117647058825, 0.1607843137254902)
RFX6	SGSM1	[48, 72, 96]	0.66861	48.23	0.22899999999999998	(0.8627450980392157, 0.6784313725490196, 0.6823529411764706)	1.9446	None	2	(0.8627450980392157, 0.6784313725490196, 0.6823529411764706)
RFX6	SIM1	[48, 72, 96]	0.9946799999999999	50.95	0.9470000000000001	(0.8901960784313725, 0.1411764705882353, 0.14901960784313725)	1.999	None	9	(0.8901960784313725, 0.1411764705882353, 0.14901960784313725)
RFX6	SIRPA	[96]	0.80318	50.36	0.363	(0.8666666666666667, 0.5803921568627451, 0.5803921568627451)	1.9872	None	3	(0.8666666666666667, 0.5803921568627451, 0.5803921568627451)
RFX6	SIX2	[48, 96]	0.61712	47.06	0.057999999999999996	(0.8549019607843137, 0.807843137254902, 0.807843137254902)	1.9212	None	1	(0.8549019607843137, 0.807843137254902, 0.807843137254902)
RFX6	SLC12A5	[48, 72, 96]	0.9654	50.83	0.826	(0.8862745098039215, 0.23137254901960785, 0.23921568627450981)	1.9966	None	8	(0.8862745098039215, 0.23137254901960785, 0.23921568627450981)
RFX6	SLC16A12	[24, 48, 72, 96]	0.9834700000000001	50.89	0.888	(0.8901960784313725, 0.1843137254901961, 0.19215686274509805)	1.9978	None	8	(0.8901960784313725, 0.1843137254901961, 0.19215686274509805)
RFX6	SLC1A2	[24]	0.500010000200004	None	None	m	1.0	None	10	m
RFX6	SLC6A17	[24, 48, 72, 96]	0.98613	50.9	0.909	(0.8901960784313725, 0.16862745098039217, 0.17647058823529413)	1.9980000000000002	None	9	(0.8901960784313725, 0.16862745098039217, 0.17647058823529413)
RFX6	SLC8A1	[48, 72, 96]	0.9834700000000001	50.89	0.888	(0.8901960784313725, 0.1843137254901961, 0.19215686274509805)	1.9978	None	8	(0.8901960784313725, 0.1843137254901961, 0.19215686274509805)
