	100_24h(24hpi)	100_24h(48hpi)	100_24h(72hpi)	100_24h(96hpi)	0_24h(24hpi)	0_24h(48hpi)	0_24h(72hpi)	0_24h(96hpi)
HTT	11.4134	11.6038	11.2699	 11.708	11.6678	11.4159	11.6759	11.6435
HULC	4.5706	4.5706	4.5706	4.5706	4.8521	4.5706	4.5706	4.5706
HUNK	5.3481	5.6743	5.5603	5.3104	5.3212	5.3439	5.7165	5.1883
HUS1	8.3959	8.2516	 8.118	8.4138	8.1508	8.2638	8.2647	8.4915
HUS1B	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.8485
HUWE1	12.7282	 12.959	12.3057	12.8707	13.0903	12.7881	 13.045	12.6997
HV535469	4.8511	5.6514	5.9458	5.2471	5.6208	4.8552	5.9684	5.2429
HV535487	7.9592	8.8034	 7.803	8.9834	8.4472	8.1353	8.4314	8.6378
HV781757	6.2194	5.5395	5.3033	5.2471	4.8521	5.6144	5.4898	5.4787
HVCN1	5.9499	5.7138	5.2634	5.4218	6.0248	5.5849	5.3742	5.0932
HYAL1	7.4431	7.6587	8.1867	8.1222	7.1641	7.7326	8.2369	 8.365
HYAL2	10.5319	 10.129	10.3436	9.92106	10.2386	10.0977	 10.012	10.1095
HYAL3	6.9055	6.6618	6.9844	 6.444	6.7648	6.6678	6.6193	 6.717
HYAL4	4.9667	5.0954	5.0628	5.0854	4.8521	4.9725	5.3159	 4.963
HYDIN	6.2123	5.6037	5.5795	5.0807	 6.003	5.4886	5.3742	5.5606
HYDIN2	5.6088	5.8801	6.3459	6.5293	6.1725	6.0893	6.5419	6.7077
HYI	9.0407	8.8614	 9.395	9.4471	8.7736	9.0844	9.0277	9.5623
HYLS1	7.3072	7.1507	6.8606	7.1772	7.4662	7.2667	7.0256	7.0508
HYMAI	4.9667	5.0579	5.0853	5.2884	4.5706	5.1371	5.2522	5.2429
HYOU1	12.7451	12.5279	12.6011	12.3003	12.6392	12.5528	12.5113	12.4142
HYPK	 7.661	8.5651	8.0747	8.5826	8.1748	8.2009	8.4848	8.4034
Hfb1	4.5706	5.0475	 5.543	5.3446	4.5706	4.5706	4.5706	4.5706
IAH1	7.7927	7.6557	7.7761	7.3856	7.7983	7.5858	7.5177	7.6531
IAPP	4.9053	5.0579	5.2041	5.7238	5.1043	4.8552	5.2259	5.2992
IARS	11.2232	10.3112	9.98487	9.90077	11.2634	10.2001	10.0553	9.79402
IARS2	11.8534	11.2609	11.0772	10.7466	 11.865	11.3862	11.0125	10.9072
IBA57	8.9139	8.5002	8.2679	8.4053	8.8374	8.5938	8.3595	8.3314
IBTK	11.1676	11.1821	11.3319	11.5647	11.5627	11.2886	11.7295	11.5733
ICA1	9.79056	 9.9539	 9.9565	10.1894	9.97342	9.90812	10.0894	10.0251
ICA1L	5.9499	7.2076	6.5941	7.0364	6.3841	6.2034	 6.496	6.0821
ICAM1	9.47675	10.6155	11.1489	10.9833	9.18485	10.6288	 10.983	11.0686
ICAM2	6.4426	5.4699	5.9711	5.8896	5.8437	5.7143	5.7667	5.8879
ICAM3	7.4582	6.9057	 6.965	6.6118	7.1163	6.9504	6.9085	7.0388
ICAM4	6.3477	6.0299	5.8093	5.5757	6.6603	6.1099	5.4785	5.2992
ICAM5	6.7914	6.5409	6.9693	7.1767	 5.979	6.6769	6.9281	7.2346
ICK	10.5654	 10.784	10.4589	10.5536	10.7219	10.8526	10.7653	10.6731
ICMT	11.1337	10.8872	 10.866	 10.996	11.0933	10.9286	 10.555	10.9479
ICOSLG	9.0081	8.7307	8.9234	8.7191	8.9281	8.7272	9.0748	9.0664
ICT1	8.5536	8.0523	7.8488	7.7208	 8.375	8.0101	7.6142	7.6297
ID1	12.3955	13.2202	  14.34	14.1655	11.7239	13.5174	14.2004	14.3671
ID2	10.4005	11.5269	 12.308	12.0375	10.6364	11.9751	12.3149	12.3856
ID3	8.65422	10.5634	11.6153	11.4029	   7.77	10.9473	11.3212	11.7568
ID4	5.5341	7.2516	7.4403	6.9524	4.8521	 5.203	5.3159	5.8223
IDE	10.3869	10.3695	10.0202	10.1567	10.7603	10.2298	10.1494	 10.113
IDH1	13.0981	12.7737	12.9596	12.8941	13.2232	12.9284	12.9603	13.2744
IDH1-AS1	5.4868	5.1844	5.2041	5.2884	5.4208	 5.203	5.3159	5.2992
IDH2	11.1077	10.3666	10.5011	9.92997	10.6105	10.4749	10.0463	10.0123
IDH3A	9.78453	9.78406	10.0661	  10.25	9.76894	10.0944	10.1728	10.5804
IDH3B	10.1415	9.75817	9.76014	9.49692	10.0158	9.88988	9.44112	9.64177
IDH3G	9.91829	9.74501	10.0413	9.64612	9.93913	9.92965	9.89067	9.91125
IDI1	11.1806	10.8476	 11.322	11.0859	11.2611	11.2952	11.5794	11.5319
