	100_24h(24hpi)	100_24h(48hpi)	100_24h(72hpi)	100_24h(96hpi)	0_24h(24hpi)	0_24h(48hpi)	0_24h(72hpi)	0_24h(96hpi)
5S_rRNA	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
7SK	  5.91	6.8581	6.1117	7.1325	6.3118	6.2874	6.3308	7.0105
A1BG	6.6912	6.7547	6.8583	6.9784	6.3118	6.7027	6.7623	6.5952
A1BG-AS1	6.6642	6.6761	6.6892	6.7455	 6.364	6.7891	6.7427	 6.415
A1CF	8.37625	10.1772	10.0455	10.6565	8.57569	9.45208	10.3354	10.4944
A2M	6.2691	5.8261	5.5414	5.5846	 6.895	6.2828	5.9458	5.6783
A2M-AS1	5.2356	5.1844	5.3515	5.2329	5.4575	 5.619	5.1961	5.2992
A2ML1	4.5706	4.5706	4.9732	4.5706	4.5706	4.8552	4.5706	4.5706
A3GALT2	4.5706	4.8468	4.5706	5.0965	4.5706	 5.062	4.8777	4.8734
A4GALT	6.8564	7.3392	7.7051	7.5726	6.5422	7.2057	7.2189	7.4282
A4GNT	 5.208	5.3893	4.5706	4.8662	5.5262	5.0793	5.1072	 4.963
AAAS	9.4398	 9.292	9.2933	9.0651	9.3351	 9.339	9.1293	8.9575
AACS	10.9448	10.2423	10.2906	9.72104	10.8246	10.4351	10.0805	9.86779
AACSP1	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
AADAC	8.6734	8.7049	7.9241	7.8424	8.7791	8.7304	7.8377	7.8186
AADACL2	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
AADACL3	4.5706	4.8468	4.5706	5.1586	4.5706	4.5706	4.9511	5.0505
AADACL4	4.5706	4.5706	4.5706	4.5706	4.8304	4.9607	4.5706	4.5706
AADAT	7.3648	   6.9	6.4367	6.6006	7.2191	6.4649	6.4645	5.8546
AAED1	6.8765	 6.978	6.5489	6.4226	 6.709	6.6527	6.5664	6.3502
AAGAB	10.3417	10.3446	10.1619	10.2688	10.6248	10.4149	10.1934	10.3092
AAK1	 9.2898	10.0438	9.70127	 10.379	9.85534	9.71808	10.2863	10.0631
AAMDC	7.2903	7.3582	7.6333	7.3235	6.9177	7.5685	7.3926	7.3153
AAMP	11.4754	 11.141	11.3772	11.1036	11.0201	11.3251	11.0687	11.2863
AANAT	4.9667	5.1565	4.8689	 5.164	4.5706	4.8552	4.8401	4.8485
AAR2	9.4676	9.4956	9.2601	9.0224	9.5821	9.3457	9.0185	8.9814
AARD	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
AARS	10.9654	10.6731	11.2338	11.1316	10.8709	10.6927	10.8589	11.2262
AARS2	9.4518	9.4095	9.1565	 9.362	9.2574	9.3707	9.3092	9.4054
AARSD1	8.0518	7.7195	7.7761	7.4075	7.9889	 7.867	7.4426	7.3083
AASDH	8.2619	8.1894	7.8535	7.9119	8.5419	8.0965	8.2875	7.8051
AASDHPPT	9.8439	9.7048	9.3149	 9.276	9.6237	9.6592	9.2872	9.2336
AASS	6.4901	7.9535	7.7207	 8.266	6.6603	 7.774	 8.393	7.6005
AATF	9.4133	9.2708	9.2456	8.9712	 9.503	 9.287	9.0914	9.0694
AATK	11.1813	11.1747	11.3882	11.6435	 10.957	 11.574	11.4966	 11.796
AATK-AS1	4.5706	4.5706	4.5706	4.8662	4.9374	4.5706	4.8521	4.5706
AB000466	6.8175	 7.141	 6.404	6.9395	 6.754	 6.765	6.8875	6.6706
AB007962	5.4455	6.4367	5.6306	6.2313	 5.979	6.2828	6.3295	5.5996
AB062081	5.4018	5.6342	5.3178	5.9783	5.5295	5.3944	5.6379	5.6432
AB062083	 5.208	4.8529	4.9652	5.0807	4.8521	4.8653	5.1005	 4.963
AB073649	5.5997	6.6782	6.0894	6.8729	6.5118	6.1734	6.8599	6.3955
AB074160	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
AB074162	5.0549	 5.242	4.8501	4.9878	5.3416	4.5706	5.2547	5.0949
AB074166	5.2356	5.8801	5.2634	5.8215	5.6034	5.6836	5.6379	5.8185
AB074188	4.5706	 5.532	5.9778	6.0186	4.5706	4.5706	4.5706	4.5706
AB075489	6.5056	 6.567	6.6799	6.7596	 6.502	6.3291	6.6308	7.2031
AB075492	5.3059	5.3603	5.3178	5.7238	5.1483	5.3165	5.3742	5.2451
AB209061	8.8421	9.1207	8.9516	9.5278	8.8544	8.8719	9.4803	9.4672
AB209185	6.7807	6.9115	6.2168	6.9845	7.0817	6.5587	 6.993	6.6923
AB209315	5.3046	5.1565	4.5706	4.5706	5.4575	5.3165	4.5706	5.2451
AB209621	5.0429	4.8468	4.8501	4.8754	5.1043	4.8552	5.0041	5.0505
AB231702	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
AB231710	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
AB231739	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
AB429224	6.1496	6.7519	7.0303	7.3328	6.2399	6.9504	7.3177	7.4726
AB488780	6.0363	6.2941	5.8661	6.0186	6.1072	5.8487	5.9684	5.8352
AB586698	4.8326	4.5706	4.5706	4.9878	4.5706	4.5706	4.8401	4.5706
ABAT	10.5674	10.2861	10.1985	10.2406	10.7631	10.3521	10.3105	10.3623
ABCA1	10.3625	11.1047	10.7831	11.2086	9.76637	10.8487	10.9469	11.0051
ABCA10	6.5576	 7.649	 7.314	7.8335	6.7431	7.1583	7.6142	7.4528
ABCA11P	7.1388	7.2622	6.6117	7.1561	7.2244	7.2333	7.0151	6.8332
ABCA12	5.6343	6.0454	5.7678	5.6528	6.3475	6.1815	 6.497	5.7891
ABCA13	5.4868	6.0299	5.8929	6.2759	5.4486	 5.935	6.2269	6.1277
ABCA17P	4.5706	4.8468	4.8689	4.5706	5.0193	5.2251	5.0566	4.8485
ABCA2	11.6277	11.2399	11.6968	11.7682	11.2634	 11.159	11.7164	11.8765
ABCA3	8.4606	8.5451	8.3945	 8.468	7.7016	7.8714	7.6382	7.7842
ABCA4	5.0924	5.5698	5.2948	5.0008	4.9374	5.0793	5.3084	5.1239
ABCA5	9.85518	11.0529	10.6539	 11.328	 10.094	10.5563	 10.972	10.8835
ABCA6	6.0215	7.1969	6.2947	6.5636	6.3475	6.7404	6.8227	6.4663
ABCA7	11.2226	 11.463	11.7641	 12.192	11.0292	11.3932	11.9663	 11.979
ABCA8	4.5706	4.8529	4.5706	4.9878	4.5706	4.5706	 5.036	4.5706
ABCA9	6.4637	7.5819	6.5792	7.1971	6.0443	6.6237	7.2545	6.6766
ABCB1	5.9321	7.2312	6.7041	6.9354	 6.319	6.9847	6.5112	6.9654
ABCB10	 9.254	9.2536	9.4255	9.4272	9.0971	 9.289	9.1674	9.5808
ABCB11	5.0231	5.3088	5.2948	5.9496	5.3416	5.2623	5.7667	  5.97
ABCB4	5.2524	5.2566	5.4152	5.3682	5.0567	5.4327	5.2775	5.0949
ABCB5	4.9053	4.8341	4.5706	4.8689	5.0567	4.5706	4.5706	4.8734
ABCB6	9.2195	8.9219	9.6325	9.6114	8.8402	9.0986	9.5825	9.8985
ABCB7	9.0232	8.9115	8.9445	8.8929	9.1321	 9.058	8.9301	9.0432
ABCB8	9.4768	9.4478	9.4556	9.5368	9.4936	9.3354	9.2766	9.4122
ABCB9	7.9163	7.5261	7.8293	7.5889	7.7545	7.6266	7.7598	7.5461
ABCC1	11.6753	11.3177	11.0463	10.7123	11.4699	 10.875	10.9751	10.3564
ABCC10	9.87886	10.0587	9.83677	9.94173	9.79615	9.96551	9.71836	9.61864
ABCC11	5.3059	5.4699	5.5603	 5.689	5.3416	 5.458	5.5671	5.8619
ABCC13	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
ABCC2	6.5046	7.0675	 6.818	7.6904	6.6168	6.5587	7.1258	7.5745
ABCC3	13.6324	13.4748	13.4143	13.6937	13.8987	13.4986	 13.761	13.5234
ABCC4	8.1475	 8.021	 7.246	7.0548	8.3457	8.1858	7.1107	6.2928
ABCC5	10.1907	10.6416	 10.618	11.0588	10.2925	10.1964	 11.145	10.9277
ABCC5-AS1	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
ABCC6	8.7603	9.5766	9.5571	9.5101	8.9974	9.6936	9.5821	 9.507
ABCC6P1	7.6147	8.4055	8.2059	8.6194	8.2607	8.4297	 8.744	8.4621
ABCC6P2	6.6777	6.7418	6.6519	6.7042	 6.754	6.8476	6.7427	  6.49
ABCC8	6.79315	8.76748	10.0083	10.1557	4.57063	4.57063	4.85208	4.57063
ABCC9	7.6079	8.6629	7.7051	8.7638	8.3312	7.9844	8.8723	8.3908
ABCD1	8.4861	8.7461	 9.111	8.7763	8.3459	8.8209	8.8012	8.6455
ABCD2	4.8511	4.5706	4.5706	4.8662	4.5706	4.5706	4.5706	4.5706
ABCD3	 11.637	11.4665	11.5122	11.5921	 11.661	11.6392	11.6539	11.7257
ABCD4	10.2225	10.2519	10.4833	10.4869	 10.141	10.3574	10.3933	10.5811
ABCE1	10.3848	9.49711	8.70286	8.53211	10.5229	9.44864	8.66968	8.33966
ABCF1	11.0402	 11.021	11.1115	10.9811	11.0523	10.9676	 10.987	11.1017
ABCF2	9.6957	9.5105	9.2839	8.8377	9.5895	9.4009	8.9124	8.7942
ABCF3	10.0488	10.0432	10.1489	10.0386	 9.9285	10.1441	10.0446	10.0914
ABCG1	9.16156	10.4904	11.3136	11.7091	9.04076	10.8672	11.5544	12.0086
ABCG2	6.2691	6.5467	 6.748	7.5969	5.8769	6.4178	6.2197	7.7418
ABCG4	4.5706	4.5706	4.9652	4.8689	4.5706	4.5706	4.5706	4.5706
ABCG5	4.5706	4.5706	4.8501	4.5706	5.0567	4.8552	5.1814	 5.173
ABCG8	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
ABHD1	4.9406	5.0579	4.8557	4.8689	4.5706	4.8469	4.5706	4.5706
ABHD10	9.0868	8.6929	8.3775	8.3306	8.9504	8.6118	8.3298	8.1924
ABHD11	9.67279	9.95622	 10.487	10.5981	9.68189	9.94663	10.6371	10.8212
ABHD12	10.9615	10.8652	11.7984	11.7638	10.7658	11.2274	11.6838	12.2145
ABHD12B	5.0231	5.0257	4.9652	4.9878	4.5706	4.9607	4.8777	 4.963
ABHD13	9.3302	9.4492	9.2828	9.1595	 9.087	9.1169	9.1912	9.2282
ABHD14A	8.2186	 7.714	7.7896	7.3219	7.9607	 7.795	7.1285	6.8192
ABHD14A-ACY1	4.5706	4.5706	4.5706	5.8215	4.5706	4.5706	 5.412	5.4165
ABHD14B	9.6728	9.4329	9.4319	9.3144	9.2426	9.7739	9.3531	9.4242
ABHD15	9.0005	9.4187	9.4632	9.3729	8.9999	9.2075	 9.168	9.2954
ABHD16A	10.7255	10.6272	10.8283	10.3893	 10.085	10.7074	 10.386	10.5552
ABHD16B	7.5457	7.2779	 7.603	7.6752	7.2829	7.4982	7.4214	7.6297
ABHD17A	10.4257	10.0523	10.4824	10.2129	 10.094	 10.151	10.1488	10.4743
ABHD17B	9.35812	9.43954	9.86172	10.0178	 8.8629	9.61545	9.86585	10.0287
ABHD17C	11.7053	11.4912	11.7312	11.7507	11.6266	11.7626	11.9049	12.0289
ABHD2	13.4665	13.1187	12.9619	13.0381	13.3294	13.1233	13.0486	13.0751
ABHD3	10.3805	10.8812	11.2197	11.6235	 10.492	11.0841	11.5172	11.7942
ABHD4	10.7054	11.1741	11.3261	11.1815	10.8803	11.3661	11.4561	11.4546
ABHD5	8.9303	9.1273	9.1735	9.5896	9.1026	9.2403	9.2971	 9.713
ABHD6	9.0029	8.5972	8.8551	8.7934	8.7714	8.4528	8.3957	8.8845
ABHD8	8.9408	8.4211	8.5747	8.5669	8.1912	8.6219	8.3033	8.5912
ABI1	10.7263	10.9325	  11.13	11.1367	10.7265	 11.079	11.2735	 11.408
ABI2	10.0514	10.0205	9.59075	9.86019	10.3547	9.81092	9.92999	9.65875
ABI3BP	6.2695	6.9545	7.3161	8.5748	6.3841	 7.298	8.0717	8.6061
ABL1	11.4949	11.6452	11.5272	11.2244	11.2269	11.6751	11.3821	11.3363
ABL2	8.6048	8.8733	8.3447	8.5276	8.8885	8.4767	8.4805	8.2735
ABLIM1	 11.994	12.3167	12.0805	12.2677	12.3967	12.4562	12.4083	12.2772
ABLIM2	6.7431	 6.689	6.9871	6.8846	6.6407	6.3472	6.3773	6.0821
ABLIM3	7.3879	7.9063	8.1876	8.1065	7.5895	8.0153	8.2686	 8.124
ABO	7.2559	7.9837	 7.195	 8.117	7.7093	7.6881	7.9885	8.0636
ABP1	 12.296	12.5275	 13.451	13.2737	 11.999	12.8139	13.1872	13.5765
ABR	12.3604	12.5558	12.7065	12.7044	12.4063	12.6886	12.8698	12.8462
ABRA	4.5706	4.5706	4.5706	4.5706	4.5706	4.8469	4.5706	4.5706
ABRACL	10.2312	10.2903	10.4807	10.3839	10.1624	 10.487	10.3533	 10.639
ABT1	9.7401	9.3717	9.3441	9.0776	9.6489	9.5025	9.1342	9.2793
ABTB1	9.4141	9.5058	9.8207	9.7454	9.1702	9.6421	9.5508	9.9566
ABTB2	9.72291	9.82199	10.3208	10.1327	9.40584	9.95592	10.3012	10.4813
AC2	5.5262	5.5054	5.2634	5.4911	5.5262	5.2864	5.5709	5.4663
ACAA1	11.7655	11.3901	11.6454	11.4754	11.3302	11.6146	11.2686	11.7017
ACAA2	12.1636	12.2754	12.4555	12.1482	12.2514	12.5917	12.3915	12.5069
ACACA	11.5362	10.9125	10.7428	10.7949	11.7393	10.8962	11.0825	10.8229
ACACB	8.2891	8.3522	8.1548	8.5631	8.4167	8.4025	 8.602	8.6657
ACAD10	9.86498	10.0605	9.73812	9.64055	9.93913	10.0427	9.91721	9.63806
ACAD11	7.9749	7.8866	7.4994	 7.755	8.1243	7.5056	 7.636	7.5072
ACAD8	9.5893	9.6181	9.4148	9.4201	9.3386	9.5615	9.4044	9.2754
ACAD9	 9.567	9.3243	9.1938	 9.002	9.6152	9.3076	9.0731	 8.929
ACADL	4.5706	4.5706	4.5706	4.8662	4.5706	4.5706	4.8521	4.5706
ACADM	10.6219	10.4616	10.0552	10.0204	 10.582	10.4879	10.0816	10.1835
ACADS	 10.445	 10.277	10.4072	10.4187	10.0228	10.6415	10.1676	10.6805
ACADSB	 9.6159	10.3639	   10.3	10.9154	9.71676	10.8456	10.9766	11.2625
ACADVL	13.9485	13.8182	14.2606	14.3587	13.7415	13.9586	 14.219	14.4338
ACAN	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
ACAP1	4.9667	5.0954	5.4836	5.0854	5.0567	4.9867	 5.036	5.0932
ACAP2	10.4598	10.9106	 10.812	 11.208	10.7601	10.9613	 11.298	11.1688
ACAP3	11.0622	10.9596	11.1547	11.3065	10.6794	10.7909	10.9095	11.1542
ACAT1	9.1479	7.9582	7.6557	7.6785	9.1947	7.9126	7.3023	7.5906
ACAT2	10.8797	9.79151	10.2994	10.0688	10.9861	10.2935	10.5005	10.5142
ACBD3	11.1021	11.1007	11.4412	11.3558	11.2084	11.3494	11.5156	11.5242
ACBD4	9.1059	8.7672	9.1811	9.1552	8.6605	8.8474	9.1235	9.2169
ACBD5	10.9895	11.1017	 11.147	11.0931	11.0768	11.3782	11.2474	 11.374
ACBD6	8.8674	8.4211	8.1786	7.7751	8.7663	8.4712	8.0545	7.7842
ACBD7	6.2194	6.3172	6.0617	5.7575	5.8437	5.2864	5.3159	5.3058
ACCS	8.8249	8.8544	8.4152	8.5554	8.9378	8.7493	8.6774	8.3061
ACCSL	4.5706	4.5706	4.5706	4.5706	4.5706	4.8469	4.5706	4.5706
ACD	8.2997	8.1178	8.1496	7.9563	8.0541	 8.035	  7.94	7.9623
ACE	6.6777	 7.468	7.3234	7.4143	6.7099	7.0877	6.7427	 6.847
ACE2	9.26895	10.8511	 11.432	12.0921	9.15507	10.9415	11.7684	12.2373
ACER2	10.2992	10.9241	11.5499	11.7735	10.4467	 11.396	11.9453	12.2373
ACER3	9.0721	9.4461	9.2285	9.4426	9.0971	9.5123	9.8081	9.6869
ACHE	7.38098	9.11785	10.4973	10.4209	7.28095	9.02285	 10.743	10.5734
ACIN1	12.3193	12.6296	12.4859	12.8229	12.5706	12.4632	12.8411	12.6701
ACLY	12.9383	12.3232	12.3572	 12.065	 12.725	12.2615	12.0744	12.0367
ACMSD	6.0443	7.3471	8.7692	9.1262	6.1828	7.6266	8.3705	9.4681
ACN9	7.9164	7.3628	7.5953	7.2467	7.7269	7.4127	 6.994	7.4454
ACO1	10.9262	10.7937	10.7997	 10.643	11.0606	10.9903	10.7784	10.8321
ACO2	11.5165	11.4072	11.7081	11.5864	11.4422	11.5937	11.5782	11.8175
ACOT1	7.2988	6.9136	7.3328	7.4075	 6.709	7.4024	 7.116	7.6983
ACOT11	10.1011	9.81309	10.1994	10.0342	9.97472	10.0271	10.1041	10.1483
ACOT12	4.9053	4.5706	4.8501	4.9878	4.5706	4.5706	4.5706	4.5706
ACOT13	9.45831	9.62801	9.84136	9.81518	9.57348	9.89681	9.90893	10.1452
ACOT2	9.3633	9.1493	9.1753	8.8597	8.8784	9.3592	8.9097	 9.117
ACOT4	5.7664	5.4328	 5.685	5.1768	5.2026	5.4138	5.5671	5.5177
ACOT6	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
ACOT7	9.4191	 9.544	8.9594	8.1445	9.0197	8.9553	7.7304	7.8058
ACOT8	9.4018	 9.199	9.3317	9.3397	 9.118	9.2187	9.2908	9.5008
ACOT9	9.3766	9.0769	9.1267	8.9532	 9.396	9.2761	9.1809	9.1087
ACOX1	11.6929	12.0431	12.1394	12.4895	 11.687	12.1023	12.4142	12.6208
ACOX2	 7.367	6.4171	 6.477	6.5957	6.6707	6.1815	6.4681	6.4663
ACOX3	 8.859	8.6515	8.6242	8.5196	8.7627	8.8664	8.6338	 8.671
ACOXL	4.5706	5.4731	4.9652	5.2884	5.0567	5.1847	5.1697	5.2451
ACP1	 10.953	10.5375	10.6273	10.3381	 10.793	10.7472	10.5629	10.5641
ACP2	10.3466	10.6082	 10.842	10.7683	10.2619	10.7215	10.7263	10.8546
ACP5	6.7558	6.6497	6.9844	7.1216	7.3138	6.9678	7.0428	7.0335
ACP6	9.3084	8.8184	8.7876	9.0437	 9.342	8.6289	8.9572	9.0089
ACPL2	8.6964	8.1331	8.2809	 8.411	8.5026	8.2989	8.2686	8.5258
ACPP	7.5099	7.8644	8.0911	8.6534	7.9031	8.3811	8.3558	8.7718
ACPT	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
ACR	4.5706	4.5706	4.5706	4.9917	4.8521	4.5706	4.8521	4.5706
ACRBP	 5.686	5.9776	6.0436	6.1991	6.1154	5.6499	6.1149	5.9381
ACRC	6.5056	6.5954	6.1759	6.5629	6.4632	 6.467	6.6947	6.5262
ACRV1	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
ACSBG1	5.2524	5.4508	5.4836	5.3966	5.3416	5.4735	5.3742	5.4377
ACSBG2	4.5706	4.8468	4.5706	4.8662	4.8304	4.5706	4.9511	4.8744
ACSF2	11.0935	11.0468	11.4542	11.3336	10.9522	11.1998	11.2017	11.4935
ACSF3	9.4056	9.1225	9.1447	8.8783	9.0404	9.1987	9.0115	9.1247
ACSL1	11.2422	10.7941	10.8725	10.6927	11.4337	10.6918	10.7355	10.5008
ACSL3	11.2583	11.0198	11.0375	10.7932	11.4962	11.3113	11.2106	11.1528
ACSL4	11.0767	11.1701	11.1727	10.8383	11.1501	11.2171	11.2691	10.9027
ACSL5	 12.198	12.1414	12.4631	12.5903	12.3346	12.3113	12.5779	12.8652
ACSL6	5.9538	5.8946	5.9199	6.4618	5.5295	5.3165	5.7348	5.7153
ACSM1	5.0549	5.3893	5.2948	4.8754	5.4901	4.9725	5.2547	5.0932
ACSM2A	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
ACSM3	9.3746	8.9158	8.0224	7.5561	9.7649	9.1138	8.2841	7.4813
ACSS1	11.5566	11.1373	10.5282	10.4145	11.5763	11.4115	10.4619	10.4944
ACSS2	11.5841	11.7168	12.0607	 11.848	11.7897	12.1306	12.2643	12.1225
ACSS3	4.5706	6.9027	6.2262	5.9496	4.5706	4.5706	4.5706	4.5706
ACTA1	4.5706	4.8341	4.5706	4.8662	4.5706	4.8552	4.5706	4.5706
ACTA2	9.1116	8.7816	8.4952	7.8294	9.2227	8.8664	 8.323	8.0896
ACTB	15.7256	 15.333	15.7461	15.1462	 15.694	15.4163	15.5046	 15.372
ACTBL2	5.0429	 5.262	5.2948	4.9878	5.0567	5.2423	5.3084	 5.175
ACTC1	4.9667	5.1204	4.5706	4.8689	4.5706	4.5706	4.5706	4.5706
ACTG1	15.9643	15.5804	15.9202	15.2364	15.8075	15.8711	 15.756	15.6148
ACTG1P4	4.5706	5.5722	5.0853	5.9778	5.2548	4.9867	5.6032	5.2429
ACTG2	4.8326	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
ACTL10	 7.581	7.2488	 7.314	6.6271	6.9943	7.2697	6.7661	7.0335
ACTL6A	9.9103	 9.537	9.3668	8.9792	 9.626	9.4773	9.0396	 9.092
ACTL6B	4.9053	5.6186	5.8929	5.3446	4.5706	4.5706	4.5706	4.5706
ACTL7A	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
ACTL7B	4.5706	4.5706	4.5706	4.5706	4.5706	4.8469	4.5706	4.5706
ACTL8	4.5706	4.5706	4.5706	4.5706	4.5706	4.8469	4.5706	4.5706
ACTN1	12.9365	12.5747	12.8012	12.5302	12.8772	12.8031	12.7277	12.7516
ACTN1-AS1	4.5706	5.0257	4.5706	4.5706	4.8304	4.5706	4.5706	4.8734
ACTN2	4.5706	4.5706	4.5706	4.8662	4.5706	4.5706	4.5706	4.5706
ACTN3	7.2576	5.3088	5.2041	4.8754	4.5706	4.8469	4.8777	4.8485
ACTN4	14.5952	14.4839	14.9728	 14.727	14.6173	14.7057	14.8804	14.9621
ACTR10	9.93692	10.0722	10.1947	10.0311	9.66162	10.1263	10.0275	10.1584
ACTR1A	11.1189	11.2415	11.2598	11.1341	10.9498	11.1367	10.9951	11.1308
ACTR1B	10.8825	10.8055	 11.201	11.0616	10.4296	11.1236	10.9275	11.3363
ACTR2	13.0702	13.1008	 13.143	13.0428	13.1562	13.1858	 13.179	13.2331
ACTR3	12.2654	12.4511	12.6536	12.6393	12.3843	12.5786	12.7589	12.8906
ACTR3B	8.1044	7.5512	7.6037	7.1662	7.9607	7.6775	7.1719	7.0706
ACTR3C	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
ACTR5	7.8128	7.6297	7.3244	7.2263	  7.77	7.4813	7.3023	7.1599
ACTR6	8.8618	8.7915	8.8039	8.5707	8.7332	8.9633	 8.873	8.8517
ACTR8	9.2369	9.2145	 9.018	9.0457	9.1393	9.1327	9.0696	9.0465
ACTRT3	6.4911	6.6663	 6.512	6.2212	6.2561	6.8926	6.3518	6.0775
ACVR1	9.59418	9.85831	10.1619	10.0075	9.63778	9.93847	10.0492	10.0906
ACVR1B	11.5128	11.7564	11.8665	11.6672	 11.424	12.0584	11.7877	11.9539
ACVR1C	6.9977	7.0101	 7.295	7.9796	 7.315	7.0055	 7.171	7.8782
ACVR2A	9.0679	9.4256	9.4169	9.8213	9.1947	9.4773	9.6423	9.8299
ACVR2B	8.8265	8.9935	8.8455	9.3051	8.7952	8.8861	9.2492	9.1927
ACVR2B-AS1	5.4649	5.7066	5.5015	5.6528	5.6208	 5.686	5.6932	5.5574
ACVRL1	7.24714	9.57059	 10.597	10.2111	6.84833	 9.9973	10.4822	10.8018
ACY1	10.3356	10.1413	11.0451	11.0234	10.0606	10.3535	10.6488	11.2829
ACY3	6.6678	7.0913	7.8057	7.3856	6.7876	7.1775	7.3556	7.4372
ACYP1	6.9439	6.4945	6.6892	6.7042	6.6571	6.7154	6.6568	6.6766
ACYP2	7.5598	7.3864	7.4637	7.1217	7.6768	7.6586	7.0372	7.3124
ADA	7.2035	7.3221	7.8525	8.5669	 6.838	7.2498	7.3962	8.1064
ADAD2	4.8326	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
ADAL	7.1678	7.1021	6.7862	6.9724	6.9686	7.0269	6.8241	6.7134
ADAM10	12.4155	12.4819	12.6436	12.5917	12.4273	 12.522	12.5813	12.6705
ADAM11	5.3815	5.1204	5.2041	4.8754	5.0567	5.2623	5.1814	5.1239
ADAM12	5.1478	6.5316	6.1117	6.3891	4.9681	4.9607	 4.968	4.9995
ADAM15	11.3709	10.4008	10.7247	10.4485	11.0848	10.6147	10.6588	10.8195
ADAM17	9.88849	10.0129	10.2824	10.0776	9.96221	10.1565	10.2828	10.1914
ADAM18	4.5706	4.5706	4.8557	4.5706	4.5706	4.5706	4.5706	4.5706
ADAM19	7.7974	8.1939	8.4195	8.2744	7.2514	8.0183	7.7103	8.0207
ADAM1A	7.1843	7.6119	7.3922	8.0025	7.1857	7.3555	7.7757	7.6721
ADAM2	5.6283	5.5722	 5.863	5.6988	5.2548	5.1207	6.0123	5.7153
ADAM20	5.0429	4.9427	4.8557	5.0854	5.0567	4.9725	 5.036	4.8744
ADAM20P1	5.1939	5.7138	5.2948	5.9659	5.4849	5.1847	6.1152	5.4692
ADAM21	5.0429	5.0954	4.8689	5.3682	 5.131	5.0793	5.3159	 5.175
ADAM21P1	4.5706	4.9606	4.5706	4.5706	4.5706	4.5706	4.5706	4.8485
ADAM22	6.2316	6.6051	6.4027	6.9544	6.4158	6.6066	6.6308	6.8121
ADAM23	 5.208	4.8468	4.8557	5.2329	 5.131	4.8469	5.0041	4.8734
ADAM28	9.45669	10.3894	10.6226	10.4532	9.71585	10.3233	10.5071	10.4738
ADAM32	5.7404	5.5698	5.5228	5.7339	5.8306	5.5319	5.7348	5.6818
ADAM33	4.5706	4.5706	4.8557	4.5706	4.5706	4.5706	4.5706	4.5706
ADAM3A	4.9406	4.9606	4.8557	5.0854	4.5706	4.5706	5.0566	4.9981
ADAM5	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
ADAM8	9.2854	9.1513	9.9068	9.9665	8.5384	  9.23	9.7026	9.9809
ADAM9	 14.112	14.0977	 14.286	14.1377	14.3718	14.2861	 14.308	14.3462
ADAMTS1	5.9249	5.7975	5.9502	5.5757	5.6208	5.8282	5.8991	5.6899
ADAMTS10	 5.598	5.8277	6.0394	5.8583	5.3212	5.3439	5.5709	5.2462
ADAMTS12	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
ADAMTS13	8.5947	8.6079	8.7174	8.8663	8.3577	8.5795	8.8596	8.6493
ADAMTS14	6.3417	6.3864	6.4946	6.5629	6.1979	6.0413	 7.116	6.6388
ADAMTS15	4.5706	4.5706	4.8689	4.5706	4.5706	 5.157	4.5706	4.8485
ADAMTS16	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
ADAMTS17	6.8993	6.8049	6.6303	7.1971	6.8601	 6.801	 6.848	6.9779
ADAMTS18	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
ADAMTS19	5.3555	4.8529	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
ADAMTS2	4.5706	5.1324	 5.404	5.3446	4.5706	4.5706	4.5706	4.5706
ADAMTS4	5.2524	5.0954	4.8501	5.0008	4.9374	4.8552	4.9511	5.0932
