	genes
ELL2	0
BCL6	1
AGAP2-AS1	1
CREB5	2
TGFB2	2
EGR1	2
SNCAIP	2
PTH2R	2
FOXO1	2
CNTN5	2
SOGA3	2
IRX2	0
HNMT	2
NFIA	3
SCG2	4
NFKB2	2
CXCL6	2
ONECUT2	4
GFOD2	4
RELB	2
PHLDA2	2
TP63	4
CAMKV	1
EGR3	2
SCT	5
FOS	2
FOXC1	3
DISP2	3
FOXC2	6
FOXJ1	4
HIC1	2
MAFA	6
PLXND1	5
CNIH2	1
CAPSL	1
MAFB	0
RIMBP2	0
MLXIPL	5
FJX1	5
MYC	1
SOX2-OT	2
ARRDC4	1
BTG2	1
ATP13A3	2
NPAS4	2
IL8	2
SSX2IP	2
CHGA	3
RFX4	1
CA8	6
RUNX1	3
RAB3A	2
SOX1	5
GOLGA8A	5
UNC45B	3
ARX	5
MATN2	5
BACH2	2
LAMA3	2
APLP1	2
PODN	1
CXCL14	6
SPP1	2
ETV5	3
MAGED4	4
GPC6	6
ITGA1	2
MIR23B	4
SERPINB8	2
IGFBPL1	3
GATA2	2
PNPLA3	2
PLEKHF1	6
GPR179	0
MAFF	2
CEACAM6	5
MEF2C	2
ACTA1	2
MNX1	3
CXCL3	2
ITGB6	2
ANKS1A	5
LINC00907	4
RAB36	4
ROBO2	3
SHB	5
BDNF	2
SLC18A1	4
MFSD2A	6
GLRA3	5
STAT4	5
IL11	6
ZIC5	6
CDK5R2	6
DMBX1	1
SNCG	1
SLC32A1	1
TMEM154	2
FLI1	6
GRPR	3
ACTC1	2
FOSL1	2
PEG10	2
HEPACAM2	6
PTAFR	6
CLCA1	2
HOXA10	2
NR4A3	2
INSM1	6
DTX1	6
IRX1	6
KLF10	2
VWA5B2	1
NR4A2	3
PRR5L	2
SERPINI1	5
RIMS2	4
SLC30A8	4
PAX4	3
PBX3	2
NECAB1	5
FBXL16	1
KCNK17	3
SCRT1	1
CSRP1	2
SHOX2	5
GIF	5
SPIB	1
ARHGEF28	4
PLAU	3
NRN1L	1
ARNTL	4
GADD45G	2
ELF5	6
ESRRG	1
CELF4	1
ETS1	6
PRLHR	6
PDLIM5	2
NR2F1	6
MARC1	2
TNFRSF9	2
AMER3	6
CNTNAP2	4
BEND7	2
PTHLH	6
RHOB	2
USH1C	2
HOXB2	2
HSF4	0
ACTA2	2
AMIGO2	6
PLP2	0
ISL1	1
SST	1
JUNB	2
KLF7	2
SPON1	2
TGM2	3
SEMA7A	5
ASIC4	1
BAALC	2
PLS1	5
KCNH6	3
MATN1-AS1	6
AGTR1	4
CRTAC1	4
GC	1
