TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
ASCL2	KLHDC7A	-0.96932	50.87	-8.7E-01	rgb( 27,102,250)	1.9974	None
HOXB2	KLHDC7A	-0.3149	48.92	-9.2E-01	rgb( 18, 96,252)	1.9584	None
NR4A2	KLHDC7A	0.11878	47.89	0.893	rgb(227, 46, 48)	1.9378	None
PTF1A	KLHDC7A	0.54535	49.96	0.958	rgb(228, 34, 36)	1.9792	None
RXRG	KLHDC7A	0.8508	50.65	0.646	rgb(224, 94, 95)	1.993	None
ASCL2	MYC	0.86846	50.69	0.686	rgb(225, 86, 87)	1.9938	None
FLI1	MYC	0.87528	50.96	0.956	rgb(228, 34, 36)	1.9992	None
HOXB2	MYC	0.21668	48.62	0.621	rgb(224, 98,100)	1.9524	None
NR4A2	MYC	0.52945	49.88	0.879	rgb(227, 49, 51)	1.9776	None
RXRG	MYC	-0.59919	47.78	-7.8E-01	rgb( 47,114,247)	1.9356	None
ASCL2	MYT1	0.34759	48.99	0.992	rgb(228, 28, 29)	1.9598	None
FLI1	MYT1	0.98266	51	0.998	rgb(228, 26, 28)	2	None
HOXB2	MYT1	0.57486	50	0.996	rgb(228, 27, 29)	1.98	None
NR4A2	MYT1	0.024519	35.7	0.703	rgb(225, 83, 84)	1.694	None
ASCL2	NAALAD2	-0.53143	46.68	-6.8E-01	rgb( 69,127,243)	1.9136	None
FLI1	NAALAD2	0.11398	47.87	0.875	rgb(227, 50, 52)	1.9374	None
PTF1A	NAALAD2	-0.92054	50.98	-9.8E-01	rgb(  5, 88,254)	1.9996	None
RXRG	NAALAD2	0.35078	43.29	0.294	rgb(220,161,161)	1.8458	None
ASCL2	NCCRP1	-0.57486	50	-1	rgb(  0, 85,255)	1.98	None
FLI1	NCCRP1	-0.98266	51	-1	rgb(  0, 85,255)	2	None
HOXB2	NCCRP1	0.98266	51	1	rgb(228, 26, 28)	2	None
NR4A2	NCCRP1	0.98266	51	0.995	rgb(228, 27, 29)	2	None
FLI1	NRTN	-0.66876	50.73	-7.3E-01	rgb( 58,120,245)	1.9946	None
NR4A2	NRTN	0.49115	49.86	0.863	rgb(226, 52, 54)	1.9772	None
PTF1A	NRTN	0.42063	49.1	0.573	rgb(223,108,109)	1.962	None
RXRG	NRTN	-0.048891	47.56	-5.6E-01	rgb( 96,144,238)	1.9312	None
ASCL2	NTM	0.89045	50.74	0.738	rgb(225, 76, 77)	1.9948	None
FLI1	NTM	0.14693	38.62	0.617	rgb(224, 99,100)	1.7524	None
HOXB2	NTM	0.057064	47.61	0.61	rgb(224,101,102)	1.9322	None
PTF1A	NTM	0.87528	50.96	0.958	rgb(228, 34, 36)	1.9992	None
FLI1	OPRK1	0.27792	41.61	0.605	rgb(224,101,103)	1.8122	None
NR4A2	OPRK1	-0.50401	46.35	-3.5E-01	rgb(141,171,230)	1.907	None
PTF1A	OPRK1	0.98036	50.91	0.907	rgb(227, 44, 46)	1.9982	None
RXRG	OPRK1	0.43211	49.7	0.698	rgb(225, 84, 85)	1.974	None
FLI1	P2RX1	0.049954	36.42	0.417	rgb(222,137,138)	1.7084	None
HOXB2	P2RX1	0.32377	48.94	0.938	rgb(227, 38, 40)	1.9588	None
NR4A2	P2RX1	0.94964	50.99	0.993	rgb(228, 27, 29)	1.9998	None
RXRG	P2RX1	-0.62723	50.59	-5.9E-01	rgb( 88,139,240)	1.9918	None
FLI1	PCBP3	-0.63907	50.64	-6.4E-01	rgb( 79,133,241)	1.9928	None
HOXB2	PCBP3	0.098113	47.81	0.806	rgb(226, 63, 65)	1.9362	None
PTF1A	PCBP3	0.67656	48.89	0.887	rgb(227, 48, 49)	1.9578	None
RXRG	PCBP3	0.028441	47.4	0.398	rgb(221,141,142)	1.928	None
ASCL2	PLXNA2	0.83837	50.62	0.617	rgb(224, 99,100)	1.9924	None
FLI1	PLXNA2	0.7319	50.84	0.836	rgb(226, 57, 59)	1.9968	None
HOXB2	PLXNA2	0.61411	50.52	0.516	rgb(223,118,119)	1.9904	None
RXRG	PLXNA2	0.34011	43.02	0.02	rgb(217,213,213)	1.8404	None
ASCL2	RTN4RL2	-0.42408	49.67	-6.7E-01	rgb( 72,129,242)	1.9734	None
FLI1	RTN4RL2	-0.060839	47.63	-6.3E-01	rgb( 81,134,241)	1.9326	None
NR4A2	RTN4RL2	0.20216	48.54	0.538	rgb(223,114,115)	1.9508	None
PTF1A	RTN4RL2	0.99168	50.92	0.915	rgb(227, 42, 44)	1.9984	None
ASCL2	SGK2	0.71746	50.82	0.824	rgb(226, 60, 61)	1.9964	None
HOXB2	SGK2	-0.59751	47.76	-7.6E-01	rgb( 52,117,246)	1.9352	None
NR4A2	SGK2	-0.20465	40.22	-2.2E-01	rgb(170,189,225)	1.7844	None
RXRG	SGK2	-0.26333	48.79	-7.9E-01	rgb( 45,112,247)	1.9558	None
HOXB2	SLC28A3	0.94964	50.99	0.99	rgb(228, 28, 30)	1.9998	None
NR4A2	SLC28A3	0.79963	50.91	0.909	rgb(227, 43, 45)	1.9982	None
PTF1A	SLC28A3	0.13326	38.44	0.441	rgb(222,133,134)	1.7488	None
