TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
SIX2	CPA2	-0.94085	50.83	-8.3E-01	rgb( 37,108,248)	1.9966	None
EHF	CRIP2	-0.65039	48.65	-6.5E-01	rgb( 75,131,242)	1.953	None
SIX2	CRIP2	-0.76049	49.8	-8.0E-01	rgb( 43,111,247)	1.976	None
EHF	CXCL6	0.98266	51	0.998	rgb(228, 26, 28)	2	None
RUNX1	CXCL6	0.61726	48.31	0.315	rgb(220,157,158)	1.9462	None
EHF	DCDC2	0.81187	50.92	0.916	rgb(227, 42, 44)	1.9984	None
RUNX1	DCDC2	0.52069	46.56	0.559	rgb(223,110,111)	1.9112	None
TP63	DCDC2	0.84885	50.64	0.636	rgb(224, 95, 97)	1.9928	None
EHF	DLGAP3	0.94964	50.99	0.991	rgb(228, 28, 30)	1.9998	None
TP63	DLGAP3	-0.1547	39.01	-1.2E-02	rgb(214,215,217)	1.7602	None
EHF	DLK1	-0.23757	40.71	-7.1E-01	rgb( 63,123,244)	1.7942	None
SIX2	DLK1	-0.2807	41.64	-6.4E-01	rgb( 79,133,241)	1.8128	None
EHF	DPYD	-0.97266	50.88	-8.8E-01	rgb( 27,101,250)	1.9976	None
SIX2	DPYD	-0.68525	49.25	-2.5E-01	rgb(163,184,227)	1.965	None
EHF	EDN3	0.98266	51	1	rgb(228, 26, 28)	2	None
RUNX1	EDN3	0.36625	43.54	0.543	rgb(223,113,114)	1.8508	None
RUNX1	EHF	0.34656	43.25	0.249	rgb(220,169,170)	1.845	None
TP63	EHF	0.96932	50.87	0.874	rgb(227, 50, 52)	1.9974	None
EHF	ELAVL3	-0.085102	37.32	-3.2E-01	rgb(147,174,229)	1.7264	None
TP63	ELAVL3	0.64743	48.62	0.624	rgb(224, 98, 99)	1.9524	None
EHF	F5	-0.4667	45.52	-5.2E-01	rgb(103,148,237)	1.8904	None
TP63	F5	0.76401	49.84	0.837	rgb(226, 57, 59)	1.9768	None
EHF	FBN2	-0.17944	39.47	-4.7E-01	rgb(115,155,235)	1.7694	None
TP63	FBN2	0.8508	50.65	0.655	rgb(224, 92, 93)	1.993	None
EHF	FGG	0.70856	49.54	0.536	rgb(223,115,116)	1.9708	None
SIX2	FGG	0.82107	50.54	0.54	rgb(223,114,115)	1.9908	None
EHF	FUT9	-0.4203	44.56	-5.6E-01	rgb( 95,143,238)	1.8712	None
TP63	FUT9	0.35191	43.35	0.349	rgb(221,150,151)	1.847	None
SIX2	FZD4	-0.56636	49.99	-9.9E-01	rgb(  1, 86,255)	1.9798	None
TP63	FZD4	-0.50782	46.4	-4.0E-01	rgb(131,165,232)	1.908	None
EHF	GFOD2	-0.82569	50.58	-5.8E-01	rgb( 91,141,239)	1.9916	None
SIX2	GFOD2	0.4681	49.81	0.806	rgb(226, 63, 65)	1.9762	None
