TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
RARB	GRASP	-0.82833	50.93	-9.3E-01	rgb( 15, 94,252)	1.9986	None
TBX3	GRASP	-0.15946	39.14	-1.4E-01	rgb(186,198,222)	1.7628	None
CDX2	GRIK2	-0.44336	45.12	-1.2E-01	rgb(191,201,222)	1.8824	None
FOXC2	GRIK2	0.63845	48.63	0.627	rgb(224, 97, 98)	1.9526	None
TBX3	GRIK2	-0.11259	38.03	-2.7E-02	rgb(211,213,218)	1.7406	None
CDX2	GUCY1A2	-0.50453	49.89	-8.9E-01	rgb( 23, 99,251)	1.9778	None
FOXC2	GUCY1A2	0.79963	50.91	0.909	rgb(227, 43, 45)	1.9982	None
RARB	GUCY1A2	-0.30625	42.39	-3.9E-01	rgb(133,166,232)	1.8278	None
TBX3	GUCY1A2	-0.63562	48.53	-5.3E-01	rgb(102,147,237)	1.9506	None
CDX2	HEY1	-0.68477	49.21	-2.1E-01	rgb(171,189,225)	1.9642	None
FOXC2	HEY1	-0.58838	47.68	-6.8E-01	rgb( 70,128,243)	1.9336	None
RARB	HEY1	-0.38417	43.78	-7.8E-01	rgb( 49,115,246)	1.8556	None
TBX3	HEY1	-0.93799	50.82	-8.2E-01	rgb( 38,108,248)	1.9964	None
CDX2	HHIPL1	0.89298	50.75	0.747	rgb(225, 74, 76)	1.995	None
FOXC2	HHIPL1	0.12674	38.32	0.315	rgb(220,157,157)	1.7464	None
RARB	HHIPL1	0.86846	50.69	0.69	rgb(225, 85, 87)	1.9938	None
SATB2	HHIPL1	0.67337	50.74	0.745	rgb(225, 75, 76)	1.9948	None
CDX2	HIF3A	0.0029687	35.32	0.318	rgb(220,156,157)	1.6864	None
FOXC2	HIF3A	0.81187	50.92	0.925	rgb(227, 40, 42)	1.9984	None
TBX3	HIF3A	0.49954	49.88	0.879	rgb(227, 49, 51)	1.9776	None
CDX2	ID1	-0.80575	50.44	-4.4E-01	rgb(122,159,234)	1.9888	None
RARB	ID1	-0.17984	39.48	-4.8E-01	rgb(113,154,235)	1.7696	None
SATB2	ID1	-0.71746	50.82	-8.2E-01	rgb( 39,109,248)	1.9964	None
TBX3	ID1	-0.51519	46.51	-5.1E-01	rgb(106,150,236)	1.9102	None
CDX2	ID4	-0.70251	49.5	-5.0E-01	rgb(109,152,236)	1.97	None
FOXC2	ID4	-0.85281	50.66	-6.6E-01	rgb( 73,130,242)	1.9932	None
RARB	ID4	-0.73084	49.67	-6.7E-01	rgb( 72,129,242)	1.9734	None
SATB2	ID4	-0.82833	50.93	-9.3E-01	rgb( 15, 94,252)	1.9986	None
TBX3	ID4	-0.66447	48.76	-7.6E-01	rgb( 53,117,246)	1.9552	None
RARB	IER3	-0.047022	36.38	-3.8E-01	rgb(134,167,231)	1.7076	None
SATB2	IER3	-0.98266	51	-1	rgb(  0, 85,255)	2	None
TBX3	IER3	-0.8508	50.65	-6.5E-01	rgb( 77,132,242)	1.993	None
FOXC2	IER5	-0.30665	48.9	-9.0E-01	rgb( 21, 98,251)	1.958	None
SATB2	IER5	0.92054	50.98	0.979	rgb(228, 30, 32)	1.9996	None
TBX3	IER5	0.20762	40.29	0.285	rgb(220,163,163)	1.7858	None
CDX2	IGF2-AS	-0.80671	50.45	-4.5E-01	rgb(120,158,234)	1.989	None
FOXC2	IGF2-AS	-0.85281	50.66	-6.6E-01	rgb( 74,130,242)	1.9932	None
RARB	IGF2-AS	-0.48965	45.79	-7.9E-01	rgb( 45,112,247)	1.8958	None
SATB2	IGF2-AS	-0.30665	48.9	-9.0E-01	rgb( 21, 98,251)	1.958	None
CDX2	IL1A	0.12439	38.29	0.288	rgb(220,162,163)	1.7458	None
FOXC2	IL1A	0.79447	50.35	0.353	rgb(221,150,150)	1.987	None
RARB	IL1A	0.89536	50.76	0.764	rgb(225, 71, 73)	1.9952	None
FOXC2	KCNT1	0.79963	50.91	0.91	rgb(227, 43, 45)	1.9982	None
RARB	KCNT1	-0.32377	48.94	-9.4E-01	rgb( 12, 93,253)	1.9588	None
TBX3	KCNT1	0.52681	49.93	0.933	rgb(227, 39, 41)	1.9786	None
FOXC2	LACC1	0.2947	48.87	0.868	rgb(227, 51, 53)	1.9574	None
SATB2	LACC1	-0.85509	50.95	-9.5E-01	rgb( 10, 91,253)	1.999	None
TBX3	LACC1	0.051677	36.44	0.437	rgb(222,134,134)	1.7088	None
FOXC2	LRIG3	0.092322	47.79	0.789	rgb(226, 66, 68)	1.9358	None
RARB	LRIG3	-0.69786	49.46	-4.6E-01	rgb(116,156,235)	1.9692	None
TBX3	LRIG3	-0.39502	49.51	-5.1E-01	rgb(105,149,237)	1.9702	None
CDX2	MARVELD1	0.87084	50.7	0.944	rgb(227, 37, 39)	1.994	None
FOXC2	MARVELD1	-0.71746	50.82	-8.2E-01	rgb( 39,108,248)	1.9964	None
RARB	MARVELD1	0.94085	50.83	0.832	rgb(226, 58, 60)	1.9966	None
FOXC2	MOXD1	-0.62954	50.6	-7.1E-01	rgb( 63,123,244)	1.992	None
SATB2	MOXD1	-0.24295	48.72	-7.2E-01	rgb( 60,121,245)	1.9544	None
TBX3	MOXD1	-0.44929	45.28	-2.8E-01	rgb(156,180,228)	1.8856	None
CDX2	MPC2	0.61726	48.31	0.31	rgb(220,158,158)	1.9462	None
FOXC2	MPC2	-0.72421	50.83	-8.3E-01	rgb( 36,107,249)	1.9966	None
RARB	MPC2	0.97266	50.88	0.882	rgb(227, 48, 50)	1.9976	None
TBX3	MPC2	-0.19806	40.06	-6.2E-02	rgb(204,209,219)	1.7812	None
RARB	NKD1	-0.75393	49.78	-7.8E-01	rgb( 48,114,247)	1.9756	None
SATB2	NKD1	-0.2136	40.36	-3.6E-01	rgb(138,169,231)	1.7872	None
TBX3	NKD1	-0.87528	50.96	-9.6E-01	rgb(  8, 90,254)	1.9992	None
CDX2	NKX6-2	-0.55093	47.18	-1.8E-01	rgb(178,193,224)	1.9236	None
FOXC2	NKX6-2	-0.61539	48.27	-2.7E-01	rgb(158,181,227)	1.9454	None
RARB	NKX6-2	-0.43211	44.71	-7.1E-01	rgb( 63,123,244)	1.8742	None
SATB2	NKX6-2	-0.18351	48.41	-4.1E-01	rgb(128,163,233)	1.9482	None
CDX2	NRARP	-0.82041	50.53	-5.3E-01	rgb(102,147,237)	1.9906	None
FOXC2	NRARP	-0.83463	50.6	-6.0E-01	rgb( 87,138,240)	1.992	None
SATB2	NRARP	-0.92054	50.98	-9.8E-01	rgb(  3, 87,254)	1.9996	None
TBX3	NRARP	-0.5157	49.91	-9.1E-01	rgb( 20, 97,251)	1.9782	None
FOXC2	NRP2	0.91853	50.8	0.8	rgb(226, 64, 66)	1.996	None
RARB	NRP2	0.87084	50.7	0.696	rgb(225, 84, 85)	1.994	None
TBX3	NRP2	0.47227	49.82	0.818	rgb(226, 61, 62)	1.9764	None
CDX2	NXPH4	-0.71358	49.56	-5.6E-01	rgb( 95,143,238)	1.9712	None
FOXC2	NXPH4	-0.2619	41.38	-3.8E-01	rgb(134,167,231)	1.8076	None
TBX3	NXPH4	-0.55078	47.17	-1.7E-01	rgb(181,195,223)	1.9234	None
RARB	PKIA	-0.58113	47.61	-6.1E-01	rgb( 84,136,240)	1.9322	None
SATB2	PKIA	-0.94964	50.99	-9.9E-01	rgb(  2, 86,255)	1.9998	None
TBX3	PKIA	-0.30284	48.89	-8.9E-01	rgb( 23, 99,251)	1.9578	None
CDX2	RAB17	0.66187	50.71	0.714	rgb(225, 81, 82)	1.9942	None
RARB	RAB17	0.21565	40.39	0.388	rgb(221,143,144)	1.7878	None
TBX3	RAB17	0.60352	50.43	0.432	rgb(222,135,135)	1.9886	None
FOXC2	RDH16	0.78761	50.9	0.902	rgb(227, 45, 47)	1.998	None
RARB	RDH16	0.16163	48.17	0.173	rgb(219,184,184)	1.9434	None
SATB2	RDH16	0.038593	36.25	0.251	rgb(220,169,170)	1.705	None
CDX2	RIMS2	-0.36566	43.53	-5.3E-01	rgb(102,147,237)	1.8506	None
FOXC2	RIMS2	0.36881	49.26	0.259	rgb(220,167,168)	1.9652	None
SATB2	RIMS2	-0.02221	47.33	-3.3E-01	rgb(144,173,230)	1.9266	None
FOXC2	SCHIP1	0.43438	49.71	0.714	rgb(225, 81, 82)	1.9742	None
RARB	SCHIP1	-0.38842	43.93	-9.3E-01	rgb( 15, 94,252)	1.8586	None
SATB2	SCHIP1	0.24504	41.05	0.05	rgb(218,207,208)	1.801	None
CDX2	SERPINA3	-0.78391	50.18	-1.8E-01	rgb(177,193,224)	1.9836	None
FOXC2	SERPINA3	-0.66876	50.73	-7.3E-01	rgb( 59,121,245)	1.9946	None
RARB	SERPINA3	-0.49492	49.87	-8.7E-01	rgb( 28,102,250)	1.9774	None
FOXC2	SHISA3	-0.63104	48.49	-4.9E-01	rgb(111,153,235)	1.9498	None
RARB	SHISA3	-0.27792	41.61	-6.1E-01	rgb( 84,136,240)	1.8122	None
SATB2	SHISA3	-0.33432	48.96	-9.6E-01	rgb(  8, 90,254)	1.9592	None
CDX2	SLC1A1	0.91021	50.77	0.771	rgb(225, 70, 71)	1.9954	None
FOXC2	SLC1A1	-0.82833	50.93	-9.3E-01	rgb( 16, 94,252)	1.9986	None
RARB	SLC1A1	0.87293	50.71	0.708	rgb(225, 82, 83)	1.9942	None
CDX2	SMTNL2	0.82569	50.58	0.69	rgb(225, 85, 87)	1.9916	None
FOXC2	SMTNL2	-0.92054	50.98	-9.8E-01	rgb(  4, 87,254)	1.9996	None
RARB	SMTNL2	0.99168	50.92	0.916	rgb(227, 42, 44)	1.9984	None
SATB2	SMTNL2	0.2409	48.71	0.715	rgb(225, 80, 82)	1.9542	None
TBX3	SMTNL2	0.45248	45.33	0.331	rgb(221,154,154)	1.8866	None
FOXC2	SOX9	-0.94678	50.85	-8.5E-01	rgb( 32,105,249)	1.997	None
RARB	SOX9	-0.6762	48.88	-8.8E-01	rgb( 25,100,251)	1.9576	None
TBX3	SOX9	-0.4431	49.07	-8.1E-02	rgb(199,206,220)	1.9614	None
FOXC2	SPEG	-0.4166	49.64	-6.4E-01	rgb( 79,133,241)	1.9728	None
RARB	SPEG	0.75488	49.79	0.794	rgb(226, 65, 67)	1.9758	None
TBX3	SPEG	0.47653	49.83	0.827	rgb(226, 59, 61)	1.9766	None
CDX2	SSBP2	-0.05197	36.45	-4.5E-01	rgb(120,158,234)	1.709	None
FOXC2	SSBP2	0.66187	50.71	0.709	rgb(225, 81, 83)	1.9942	None
