TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
TBX20	CA8	-0.58025	47.6	-6.0E-01	rgb( 87,138,240)	1.932	None
NR4A3	CACNA1A	0.59919	47.78	0.775	rgb(226, 69, 70)	1.9356	None
TBX20	CACNA1A	-0.29034	42.03	-2.8E-02	rgb(211,213,218)	1.8206	None
ZIC2	CACNA1A	0.39601	44.23	0.225	rgb(219,174,174)	1.8646	None
TBX20	CACNA1B	-0.12795	47.92	-9.2E-01	rgb( 17, 95,252)	1.9384	None
ZIC2	CACNA1B	0.82327	50.56	0.564	rgb(223,109,110)	1.9912	None
FEV	CACNA1C	0.82833	50.93	0.926	rgb(227, 40, 42)	1.9986	None
TBX20	CACNA1C	-0.27759	41.6	-6.0E-01	rgb( 87,138,240)	1.812	None
TBX2	CACNG7	-0.20498	45.99	-9.9E-01	rgb(  3, 87,255)	1.8998	None
ZIC2	CACNG7	0.12648	38.31	0.309	rgb(220,158,159)	1.7462	None
FEV	CALCA	-0.64801	48.63	-6.3E-01	rgb( 80,134,241)	1.9526	None
ZIC2	CALCA	-0.53245	49.94	-9.4E-01	rgb( 13, 93,253)	1.9788	None
TBX20	CAMKV	-0.05241	36.46	-4.6E-01	rgb(117,156,235)	1.7092	None
ZIC2	CAMKV	0.073227	37.11	0.112	rgb(218,196,196)	1.7222	None
NR4A3	CAPN9	0.30585	42.38	0.38	rgb(221,144,145)	1.8276	None
TBX2	CAPN9	0.5768	47.57	0.568	rgb(223,109,110)	1.9314	None
TBX20	CAPN9	0.62379	50.57	0.567	rgb(223,109,110)	1.9914	None
FEV	CBLN4	0.40106	49.56	0.557	rgb(223,111,112)	1.9712	None
ZIC2	CBLN4	0.96661	50.86	0.901	rgb(227, 45, 47)	1.9972	None
TBX20	CD82	-0.96932	50.87	-8.7E-01	rgb( 29,102,250)	1.9974	None
ZIC2	CD82	0.015063	35.5	0.495	rgb(222,122,123)	1.69	None
FEV	CDK5R2	0.79963	50.91	0.914	rgb(227, 43, 44)	1.9982	None
TBX2	CDK5R2	0.82833	50.93	0.934	rgb(227, 39, 41)	1.9986	None
TBX20	CDK5R2	-0.80575	50.44	-4.4E-01	rgb(121,159,234)	1.9888	None
NR4A3	CDKAL1	0.82719	50.59	0.595	rgb(224,103,105)	1.9918	None
TBX2	CDKAL1	0.053949	36.48	0.475	rgb(222,126,127)	1.7096	None
TBX20	CDKAL1	-0.045263	43	-3.5E-01	rgb(140,170,230)	1.84	None
