	partition_group
ADAMTSL2	0
AKR1B1	0
ANKRD65	0
ASXL3	0
BEX1	0
BHMT	0
BTBD17	0
CA8	0
CABP7	0
CACNG4	0
CCND2	0
CDK5R2	0
CELF3	0
CHGB	0
CLPS	0
CNGA3	0
CTXN1	0
DPEP1	0
DSCAML1	0
ELFN1	0
FAM110B	0
FAM167A	0
FFAR2	0
FLT1	0
GABBR2	0
GCK	0
GHRL	0
HEPACAM2	0
IGFBPL1	0
JAKMIP2	0
KCNF1	0
KCNH6	0
KCNJ11	0
KCNK3	0
KIF19	0
LINGO1	0
LRIG1	0
LRRN2	0
MAPK4	0
MMP2	0
MUC16	0
MYT1	0
NEUROD1	0
NEUROG3	0
NKX2-2	0
NOTUM	0
NOV	0
NOXO1	0
NPSR1-AS1	0
NPTX1	0
NPTXR	0
OLFML2B	0
OR51E1	0
PCSK1	0
PDE2A	0
PDZRN3	0
PTCHD2	0
QDPR	0
RAB39B	0
RASD1	0
RASL11B	0
RBP1	0
RFX6	0
SCG2	0
SCGN	0
SCN3A	0
SEMA6B	0
SEPT3	0
SEPT5-GP1BB	0
SLC6A17	0
SPON2	0
SSTR2	0
SUSD2	0
SYT5	0
TBC1D3C	0
TMEM200A	0
TUBB4A	0
VSTM2L	0
AK5	1
ATP13A4	1
ATP6V1G2	1
BAALC	1
BCL2	1
CACNA1A	1
CACNA2D1	1
CD200	1
CDH5	1
CHRNB2	1
COL22A1	1
CORO2B	1
CPE	1
CSH1	1
CYP27A1	1
DOCK8	1
ENPP2	1
EVA1A	1
FSD1	1
G0S2	1
GFRA1	1
GNAO1	1
GNG2	1
HECW2	1
HMGB3	1
IFNE	1
ISL1	1
KCNB2	1
KCTD12	1
KLHL32	1
LMX1B	1
LRRC10B	1
LTBP2	1
LYPD8	1
MAP6	1
MDK	1
MEX3A	1
MLLT11	1
MMP11	1
MS4A8	1
MSMB	1
MUC15	1
MYBPC2	1
NFASC	1
NINJ1	1
NNMT	1
PGA4	1
PODXL2	1
PPP1R3C	1
RGS4	1
RIIAD1	1
SAP30	1
SBK1	1
SCG3	1
SCGB1A1	1
SCUBE1	1
SFRP1	1
SLC18A1	1
SLC1A2	1
SOX4	1
SPARC	1
SPIB	1
SSTR5-AS1	1
ST18	1
TFPI2	1
TMEM196	1
TMEM198	1
TMEM61	1
TMOD1	1
TOX	1
TUBA1A	1
TUBB3	1
VCAN	1
ZCCHC18	1
ABCC8	2
C1QL1	2
C2CD4A	2
CELA3A	2
CELA3B	2
CNIH2	2
CYGB	2
DEFB1	2
DLL1	2
KIF1A	2
KLK12	2
LAPTM5	2
LSP1	2
LZTS1	2
PAX4	2
PRELP	2
SAMD14	2
SDK2	2
SFTPA2	2
SLC38A3	2
SOCS1	2
SPINK4	2
USP41	2
ADORA2A	3
AK092048	3
AL110171	3
AMPD3	3
ARHGEF25	3
ATOH8	3
BAI1	3
BAI2	3
BC010924	3
BC107568	3
CDH22	3
CHRNA3	3
CNTN3	3
CR627206	3
CSH2	3
CTSL2	3
DACH1	3
DNAJC12	3
FAM105A	3
FAM19A5	3
FAM65C	3
FJX1	3
FLJ00385	3
FLJ38723	3
FW340055	3
GRHL3	3
HES6	3
HEYL	3
HSPB7	3
HV535469	3
IGHG1	3
IL17C	3
KIT	3
LIMD2	3
LOC145837	3
LOC400891	3
LOC728392	3
LTF	3
MEX3B	3
MUC5AC	3
MUC5B	3
NEURL	3
NTRK1	3
PCDHB16	3
PROX1	3
RGAG4	3
SDPR	3
TMEM35	3
TMEM59L	3
TMEM8C	3
ZCCHC12	3
ACTN3	4
AGT	4
AK094909	4
ANKS1B	4
ARL9	4
ASRGL1	4
BCRP3	4
C2CD4B	4
CACNA1H	4
CAMK2B	4
CD99L2	4
CDKN1C	4
CDRT4	4
COL16A1	4
CPLX1	4
CRYBA2	4
CSF1R	4
DLL4	4
DPYSL3	4
DYNC1I1	4
EPHB3	4
FAM71E2	4
FUT7	4
GAL	4
GGT5	4
GLT8D2	4
GOLGA7B	4
GRASP	4
HES4	4
HOPX	4
ID4	4
INSM1	4
INSRR	4
JAM3	4
LEFTY1	4
LINC00261	4
LINC00643	4
MAD2L2	4
MAFA	4
MFAP2	4
MRPL34	4
NHLH1	4
NKD1	4
NPW	4
NREP	4
P2RX6	4
PCBP4	4
PGA5	4
POM121L9P	4
PPP1R14A	4
PRRT3	4
PTGDR2	4
RAB26	4
RAB4B-EGLN2	4
RCOR2	4
RGS16	4
RGS9	4
RUNDC3A	4
SCN1B	4
SLC16A12	4
SLC38A5	4
SLC7A4	4
SMOC2	4
SSTR1	4
STMN3	4
SYNGR3	4
SYP	4
TMEM158	4
TSNAX-DISC1	4
VWCE	4
AMER3	5
CBFA2T3	5
CLCNKA	5
CPA1	5
CRLF1	5
CYMP	5
GNG4	5
GPR142	5
HGFAC	5
IGFN1	5
LINC00939	5
LRFN1	5
NKAIN1	5
OSBPL6	5
PLCG2	5
PTP4A3	5
SHF	5
SIDT1	5
TP73	5
TSPAN11	5
VWA5B2	5
AMBP	6
ARHGAP9	6
CADPS	6
CFH	6
CHGA	6
CHRNA1	6
CIB4	6
CRISPLD2	6
FAM171A2	6
GPC2	6
LOC100188947	6
NEUROD2	6
PGA3	6
PMP22	6
PPP1R16B	6
RIMBP2	6
SERPINI1	6
SH3RF3	6
STARD9	6
TAGLN3	6
TUBA3FP	6
VASH2	6
WNT9A	6
