	ADNP	AHR	AKNA	ALX1	ALX4	ARID5A	ARID5B	ARNTL	ARX	ASCL1	ASCL2	ATF5	ATF6	ATOH7	ATOH8	BACH2	BCL6	BHLHE40	CBX2	CCDC169-SOHLH2	CDX2	CEBPA	CEBPD	CREB5	CXXC5	DACH1	DLX2	DLX5	DMBX1	DPF3	EBF1	EBF2	EBF3	EGR1	EGR2	EGR3	EGR4	EHF	ELF3	ELF4	ELF5	ESRRB	ESRRG	ETS1	ETV1	ETV4	ETV5	FEV	FLI1	FOS	FOSB	FOSL1	FOSL2	FOXA1	FOXA2	FOXB1	FOXC1	FOXC2	FOXE3	FOXJ1	FOXN3	FOXO1	FOXP2	GATA2	GATA3	GATA4	GATA6	GFI1	GLI1	GLIS2	GLIS3	HAND1	HES6	HEY1	HEY2	HHEX	HIC1	HIF1A	HIF3A	HIVEP2	HIVEP3	HMGN3	HOMEZ	HOXA10	HOXA9	HOXB2	HOXB3	HOXB9	HOXD1	HOXD4	HSF2	HSF4	INSM1	IRF4	IRF8	IRX1	IRX2	IRX3	ISL1	JAZF1	JUNB	KLF10	KLF11	KLF7	LHX1	LHX6	LHX8	LMX1A	LMX1B	MAFA	MAFB	MAFF	MECOM	MEF2C	MEIS2	MLXIPL	MNX1	MSX1	MSX2	MXI1	MYBL1	MYC	MYCN	MYRF	MYT1	MYT1L	NEUROD1	NEUROD2	NEUROG3	NFIA	NFKB2	NHLH1	NKX2-2	NKX2-8	NKX6-1	NKX6-2	NPAS1	NPAS3	NPAS4	NR2F1	NR4A2	NR4A3	OLIG3	ONECUT2	ONECUT3	OSR2	PAX4	PAX6	PBX1	PBX3	PDX1	PITX1	POU3F2	POU3F4	POU5F1	POU6F1	PRDM14	PRDM16	PRDM8	PTF1A	RARB	RELB	RFX2	RFX3	RFX4	RFX6	RORC	RUNX1	RXRG	SATB2	SCRT1	SHOX2	SIM1	SIX2	SKOR1	SOHLH2	SOX1	SOX3	SOX4	SOX9	SP5	SPIB	ST18	STAT1	STAT4	TBX2	TBX20	TBX3	TBX4	TCF24	TEAD1	TEAD2	TFAP2A	TFAP2B	TFCP2L1	TGIF2	TP63	TSHZ1	ZBTB4	ZFHX2	ZFP2	ZFP28	ZFP62	ZFP82	ZFP90	ZFP92	ZIC1	ZIC2	ZIC5	ZNF385B	ZNF503	ZNF835
CDRT4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.48122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52347	0	0	0	0	0	0	0	0	0	-0.35264	0	0	-0.45285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.95493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.85289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.15398	0	0	-0.22188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.71244	0	0	0	0	0	0	0	0	-0.48957	0	0	0	-0.59884	0	0	0	0	0	0	0	0	0.20768	0	0	0
CDX2	0	0	0	0	0	0	0	0	0	0	0	0	0.02093	0	0	0	0	0	0	0	0	0.7086	0	0	0	0	0	0	0	0	0.31878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.068006	0	0	0	0	0	0.57008	0	0	0	0	0	0	0	0	-0.55913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28855	0	-0.91445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.60106	-0.5969	0	-0.19919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.24249	0	0	0	0	-0.89468	0	0	0	0	0	0	0	0	0	0	0	0	-0.54937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19408	0	0	0	0	0	0	0	0	0	0	-0.67685	-0.26328	0	0.79605	0	0	0	0	0	0	0	0	0.28929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.43104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.61335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8266	0	0	0	0	0	0	0	0	0.04549	0	0	0	0	0	0	0	0	0	0	-0.77354	0	0	0	0	0	0	0	0	0	0	-0.75497	0	0	-0.2865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM6	0	0	0	-0.45285	0.49796	0	0	0	0	0	0	0	0	0	0	0	-0.97044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48957	0	0	0	0	0.13552	0	-0.50624	0	0	0	0	-0.75328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.92442	0	0	0	0	0	-0.98273	0	0	0	0	0	0	-0.89468	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99612	0	0	0	0	0.95493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.98273	0	0	0	0	0	0	0	0	0	0	0.20768	0	0	0	0	0	0	0	0	0	0	0	0.79161	0.76099	0	0	0	0	0	-0.98273	0	0	0	0	0.79605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEBPA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4784	0	0	0	0.23693	0	0.97044	0.48122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.41575	0	0	-0.43925	-0.56561	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64031	0	0	0	0	0	0	0	0	0	0	0	0.71956	0	0	0	0	0	0	0	-0.41765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.66505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.94084	0	0.48957	0	0	0	-0.92791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.48957	0	0	0	0	0	0	0	0	0.4784	0	0	0	0	0	0	0	0	0.16589	0	0	0
CEBPA-AS1	0	0	0.92791	0	0	0	0	0	0	0	0	0	0	0	0	0.89782	0	0	0	0	0	0.58668	0.06487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21832	0	-0.24429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.015257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.90106	0	0	0	0	-0.17576	0	0	0	0	0	0	0	0	0	0	0	0	-0.4723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025018	0.78087	0	0	0	0	0	0	0	0	0	0	0
CEBPD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.87794	0	0	0	0.8266	0.95493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54806	0	-0.92442	0	0	0.12801	0	-0.027731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.21209	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.46448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.44531	0	0	0	0	-0.74027	0	0	0	0	0.088936	0	0	0	0	0	0	0	0	0	0	0	0.41811	0	0	0	0	0	0	0.065891	0.91794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELA3A	0	0	0	0	-0.24482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025476	-0.69665	-0.14197	0	0	0	0	0	0.76691	0	0	0	0	0	0	0	0	0.72999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.78087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.1919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.79359	0	0	0	0	0	0	0	0	0	0	0	-0.19507	0	0	-0.41032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.48122	0	0	0	0	0	0	0	0	0	0
CELA3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.13221	0	0	0	0	0	0	0	0	0	0	-0.45803	-0.063319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30606	-0.55208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8574	0	0.297	0	0	0	0	0	0	0	0	0	0	0.84302	0	0	-0.67269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.75497	0	0	0	0.16029	0	0	0	0	0	0	0	0	0.030585	0	0	0	0	0	0	0	0	0	0	0	0	0.18037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELF3	0	0	0	0	0	0	0	0	0	0.41279	0.31233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.36265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.21762	0	0.59894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46371	0	0	-0.51635	0	0	0	0	-0.62227	0	0	0	0	0.71956	0	0	0	0	0	0.48908	0	0	0	0.99151	0.97378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.063214	0	0.056765	0	0	0	0	0	0	0	0	0.81064	0.99151	0	0	0	0.0074348	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.29105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91794	0	0	0	0	0.59598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.12128	0	0	0	0	0	0	0	0	0	0.57008	0	0	0	0	0	0	0	0	0	0	0	0.25384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.99426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35493	0	0	0	0	0	0	0	0	0	0	0	0	0.31459	0	0	0	-0.95092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CER1	0	0	0	0	-0.38302	0	0	0	-0.48957	0	0	0	0	0	0	0	0	0	0	0	-0.61681	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1697	0	0.55606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.90106	0	0	0	0	0.12128	0	0	0	0	-0.40655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.22597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23587	0	0	0	0.41279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.081149	0	0	0	0	0.4723	0	0	0	-0.576	0	0	0	0	0	0	0	0	0	0	0	0	-0.51646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.21385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CERKL	0	0	0	0	-0.49796	0	0	0	0	0.43964	0.90106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95493	0	0	0	0.84302	0	0	0	0	0	0	0	0	0	0	0	0	0.50624	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.92097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43319	0	0	0.20004	0	0	0	0	0	0	0	0	0	0	-0.40564	0	0	0	0	0	0	0	0.49796	0	0	0	0	-0.8266	-0.63492	0	0	0	0	0	0	0	0.15271	0	-0.24035	0	0	0	0	0	0	0	0	0	0
CES1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.27051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78894	0	0	0	0	0	0	-0.38178	0	0	0	0.92791	0	0	0	0	0	0	0	0	0	0	0.22999	0	0	0	0	0	0	-0.48872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.4593	0	0	0	0	0	0	-0.15729	0	0	0.18978	0	0	0	-0.8574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.73897	0	0	0	0	0.48703	0	0	0	-0.42421	0	0	0	0	0	0	0	0	0	0	0	-0.77854	0	0	0	0	0	0	0	0	0	-0.1432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFC1	0	0	0	0	0	0	0	0	0	0	-0.023855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.70035	0	0	0.24796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53612	0	0	0	0.40042	0	0	0	0	0	0	0	0	0	0	0	0.08365	0	0	0	0.58418	0	0	0	0	0	0	0	-0.19408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.27086	0	0	0	0	0	0	0	-0.9438	0	0	0	0	0	0	0	0	0	0	0	-0.38584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99612	0	0	0	0	0	0	0.53728	-0.62016	0	0	0	0	0	-0.12896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGA	0	0	0	0	0	0	0	0	0	0	0	0.5123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.20768	0	0	0	0.48122	0	0	-0.45285	0	-0.0051092	0.51402	0	0.41723	0	0	0	0	0	0	0	0	0	0	0.8574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.79605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.48957	0	-0.10973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGB7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.19774	0	0	0	0	0	-0.39426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.19774	0	-0.6654	0	0.74405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.41723	0	0	0	0	0	0	0	0	-0.29147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.61205	0	0	0	0	0	0.26173	0	0	0	0	0	0	0	0	0	0	0.21431	0	0	0	0	0	0	-0.86794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.63598	0	0	0.79429	0	0	0	0	0	0	0	0	0	0	0.0059549	0	0	0	0
CGREF1	0	-0.39302	0	-0.014094	0	0	0	0	0	0	0	0	-0.02093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38784	0	0.31233	0	0	0	0.38302	0	0	0.69665	0	0.55134	0.53647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.63876	-0.33672	0	0	0	0	-0.67016	0	0	-0.66374	0	0	0	0	0	0	0	0	-0.69665	-0.17706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06124	0	0	0	0.77467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.45888	0	-0.65226	-0.34482	0	0	0	0	0.087174	0	0	0	0	0	-0.17777	0	0	0	0	0	0	0	0	0	0	0	0
CHGA	0	0	0	-0.41279	0	0	0	0	0.26938	0.81064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10469	0	0.76691	0	0	0	0	0	0	-0.31579	0	0.24204	0	0	0	0	0	0	0	0	0	0.45715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.88851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42537	0	0	-0.99612	0	0	0.82477	0	0	0	0	0	0	0	0.8198	0	0	0	0	0	0	0	0	0	0	0	0	0.82477	0	0	0	0	0	0	0	0	0	0.99803	0	0	0	-0.91445	0	0	0	-0.63115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHGB	0	0	0	0	0	0	0	0	0.67984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.90106	0	0	0	0	0	0	0	0.12939	-0.25187	0.95493	0.98273	0.26564	0	0	0	-0.71244	0	-0.27343	0	0	0	0	0	0	0	0	0	-0.38865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.81064	0	0	0	0	0	0	0.17777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.9438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.91445	0	0	0.99803	0	0	0	0	0	0	0	0.97378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.19507	0	0	0	0	0	0	0	0	0	0	0	0.69665	0	0	0	0	0	-0.92442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57008	0	0	0	0.017019	0	0	0	0	0	-0.39961	0	0	0.45222	0	0	0	0	-0.83858	0	0	0	-0.56804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13781	0	0	-0.10825	0	0	0.11455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.61276	0	0	0	0.24521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.29859	0	0	0.50398	0	0	0	0	0	0	0	0	0	0	0	0.62227	0	0	0	0	0	0	0.22759	0	0	0	0.63598	0	0	0	0	0	0.97044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHRM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.077801	0	-0.071106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.8266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.35916	0	-0.1697	-0.4593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.76691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.80303	0	0	0	0	0.28379	0	0	0	0.8574	0	0	0.37121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37569	0	0	0	0	0	0	-0.45285	0	0	0.39894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.576	0	0	0
CHRNA1	0	0	0	0	-0.90106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.48612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.90106	0	0	0.516	0	0	0	0	0	0	0	-0.73161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2376	0	0	0	0	0	0	0	0	0	0	0	0	0.18978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.71864	0	0	0	0	0	0	-0.67685	0.27283	0	0	0	0	0	0	-0.77713	-0.27086	0	0	0	0	0	0	0	0.69577	0	0	0.10469	0	0	0	0	0	0	0	0	0	0	0	-0.30285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.69665	0	0	0	0.04549	0	0	0	0	0	0	0	0	0	0	0	0
CHRNA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.012509	0	0.65884	0	0	0	0	0	0	0	0	0	0	0.24859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.06487	0	0	0	0	0	0	0	0	0	0	0	0	0.023467	0	0	0	0	0	0	0	0	0	0	-0.68841	0	0	0	0	0	0.91445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.85289	0	0	0	0	0	0	0	0	0	0	0	0.6654	0	0	0	0.32854	0	0	0	0	-0.297	0	0.65765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHRNB2	0	0	0	0	0	0	0	0	0	0.22449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.43805	0	0.78087	0.58164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.42421	0	0.11853	0.88851	0	0	0	0	0	0	0	0.31152	0	0	0	0	0	0	0	0	0	0	0	0	0.022023	0	0	0	0	0	0	0	0	0	0.52569	0	0	0.72209	0	0	0	0	0	0	0	0	0	0	0	0	0.029422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.51843	0	0.33527	0	0	0	0
CHST1	0	0	0	-0.80715	-0.075581	0	0	0	0	0	0	0	0	0	0	-0.89468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.90106	0.40655	0.27727	0	0.66279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.91445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.67269	0	0	0	-0.65884	0	0	-0.058844	0.89782	0	0	0	0	0	0	0	0	0	0	0	-0.18774	0	0	0	0	0	-0.82304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23693	0	0	0	0	0	0	0	0	0	0	0	0.58851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.61681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
