	ADNP	AHR	AKNA	ALX1	ALX4	ARID5A	ARID5B	ARNTL	ARX	ASCL1	ASCL2	ATF5	ATF6	ATOH7	ATOH8	BACH2	BCL6	BHLHE40	CBX2	CCDC169-SOHLH2	CDX2	CEBPA	CEBPD	CREB5	CXXC5	DACH1	DLX2	DLX5	DMBX1	DPF3	EBF1	EBF2	EBF3	EGR1	EGR2	EGR3	EGR4	EHF	ELF3	ELF4	ELF5	ESRRB	ESRRG	ETS1	ETV1	ETV4	ETV5	FEV	FLI1	FOS	FOSB	FOSL1	FOSL2	FOXA1	FOXA2	FOXB1	FOXC1	FOXC2	FOXE3	FOXJ1	FOXN3	FOXO1	FOXP2	GATA2	GATA3	GATA4	GATA6	GFI1	GLI1	GLIS2	GLIS3	HAND1	HES6	HEY1	HEY2	HHEX	HIC1	HIF1A	HIF3A	HIVEP2	HIVEP3	HMGN3	HOMEZ	HOXA10	HOXA9	HOXB2	HOXB3	HOXB9	HOXD1	HOXD4	HSF2	HSF4	INSM1	IRF4	IRF8	IRX1	IRX2	IRX3	ISL1	JAZF1	JUNB	KLF10	KLF11	KLF7	LHX1	LHX6	LHX8	LMX1A	LMX1B	MAFA	MAFB	MAFF	MECOM	MEF2C	MEIS2	MLXIPL	MNX1	MSX1	MSX2	MXI1	MYBL1	MYC	MYCN	MYRF	MYT1	MYT1L	NEUROD1	NEUROD2	NEUROG3	NFIA	NFKB2	NHLH1	NKX2-2	NKX2-8	NKX6-1	NKX6-2	NPAS1	NPAS3	NPAS4	NR2F1	NR4A2	NR4A3	OLIG3	ONECUT2	ONECUT3	OSR2	PAX4	PAX6	PBX1	PBX3	PDX1	PITX1	POU3F2	POU3F4	POU5F1	POU6F1	PRDM14	PRDM16	PRDM8	PTF1A	RARB	RELB	RFX2	RFX3	RFX4	RFX6	RORC	RUNX1	RXRG	SATB2	SCRT1	SHOX2	SIM1	SIX2	SKOR1	SOHLH2	SOX1	SOX3	SOX4	SOX9	SP5	SPIB	ST18	STAT1	STAT4	TBX2	TBX20	TBX3	TBX4	TCF24	TEAD1	TEAD2	TFAP2A	TFAP2B	TFCP2L1	TGIF2	TP63	TSHZ1	ZBTB4	ZFHX2	ZFP2	ZFP28	ZFP62	ZFP82	ZFP90	ZFP92	ZIC1	ZIC2	ZIC5	ZNF385B	ZNF503	ZNF835
ACOT12	0	0	0	0.44591	-0.67984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.76335	0	0	0	0	0	0	0	0.74405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.71762	-0.87794	0	-0.44591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.45201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.43041	0	0	0	0	0	0.52174	0	0	0	0	0	0	0	0.97992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2865	0	0	0	0	0	0	0	0	0	0	-0.50201	0	0	0	0	0	0	0	0	0.47326	0	0	0	0	0	0	0	0	0	0	0	0	0.16219	0	0	0	0	0	0	0	0	0	0	0	0
ACOX3	0	0	0	-0.098626	0	0	0	0.52752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30532	0	0	0	0	0	0	0	0	0	0	0.78985	0	0	0	0	0	0	0	0	0	0	0.65226	-0.43206	0	0	0	0	0	0	0.62227	0	0	0	0	0	0	0.91794	0	0	0	0	0	0	0	0	0	0	0	0.25384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.57481	0	0	-0.71244	0	0	0.71328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.76691	0	0	0	0	0	0	0	0	-0.68485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.14242	0	0	0	0
ACSM3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.77893	0	0.16505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054017	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47326	0	0	0	0	0	-0.45236	0	-0.76099	0	0	0	0	0	0	0	0	0	0	0	-0.94753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.89116	0	0	0	0	0	0.065891	0	-0.71328	0.35916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55208	0	0	0	0	0	0	0	0.78087	0	0	0	0	0	0	0	0	0	0	0	0	-0.89782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.13781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.85078	0	0	0	-0.25384	0	0.092389	0	0	0	0	0	0	0	0	0	0
ACTA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.51402	0	0	0	-0.59098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98273	0	0.70292	0	0.74158	0	0	0	0	0	0	0	0.2778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43256	0	0	0	0	0	0	0	0	0	-0.37079	0	0	-0.98273	-0.95493	0	0	0	0	0	0	0	0	0	0.92791	0	0	0	0	0	0	0	0	0	0	0.49796	0	0.99612	0	0	0	0.78855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92791	0	0	0	0	0	0	0	0	-0.95493	0	0	-0.92791	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95493	0	0	0	0	0	0	0	0	0	0	-0.90106	0.037245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.91445	0	0	0	0	-0.55377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.88851	0	0	0	0	0	0	0	0.18428	0	0	0	0	0	0	-0.52315	0	0	0	0	0.35916	0	-0.84302	0.99151	0	0	0	0	0	0	0	0	0	0	0	0	0.78087	0	0	0	0	0	0	0.27086	0	0.36156	0	0	0	0.014658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66233	0	0	0	0	0	0	0	-0.28929	0	0	0	0	0.30486	0	-0.019415	0	0	0	0	0	0	0	0	0	0	-0.2865	0	0.642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.13985	0	0	0	0	0	0	0	0
ACTC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.642	-0.36431	0	0	0	-0.46638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.74405	-0.53062	0	0	0.78985	0	0	0	0	0.15729	0	0	0	0	0	0.99426	0.44369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99151	-0.37653	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77893	0	0	0	0	0	0	0	0	0	0	0	0	0.8408	0	0	0	0	0	0	0	0	-0.67984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72872	0	0	0	0	0	0	0	-0.70412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54468	0	0.056765	0	0	0	0	0	0	0.65884	0	0	0	0	0	0	0	0	0	0	0.47326	0.17248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.33654	-0.15729	0	-0.34975	0	0	0	0.87234	0	0	-0.7086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6877	0	0	0	0	0	0	0	-0.40042	0	0	0	0	0	0	0	0	0.73161	0	0	0	0	0	0	0	0	0	-0.075581	0.6476	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77791	0	0	0	0	0	0	0	0	0	0	0.51924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL6B	0	0	0	0	0	0	0	0	0	0	0.74027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.71328	0	0	0.81064	0	0.65884	0.92791	0.31579	0	0	0	0	0	0	0	0.22569	0	0	0	0	0	-0.58094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.71244	0	0	0	0	0	0	0	0.60447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78087	0	0	0	0	0	0.80405	0	0	0	-0.56173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13985	0	-0.91445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACVR1C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27481	0	0	0	0	0.26328	0	0	0	0	0	0	0	0	0.8574	0	0.20004	0	0	-0.72999	0	0	0	0	0	0	0	0	0.92791	0	0	0	0	0	0	0	-0.58851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.18101	0	0	0	-0.97378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.90106	0.86991	0	0	0	0	0	0	-0.85078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.046476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42537	0	-0.87234	-0.6654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM12	0	0	0	0	0	0.61335	0	0	0	0	0	0	0	0	0	0	0	-0.81832	0	0	0	0	0	0.12597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41279	0	0	0.81064	0	0	0	0	-0.695	0	0	0	0	0	0	-0.72209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.60447	-0.69405	0	0	0	0	0	0	0	0	-0.8081	0	0	0	0	0	0	0	0	0	0	0	0	-0.72999	0.42537	0	0	0	0	0	0	0	0	0	0.73161	0	0	0	0	0	0	0	-0.69577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27837	-0.92791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
