	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CBX2	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HES6	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF117	ZNF382	ZNF492	ZNF514	ZNF519	ZNF788	ZNF846	ZNF853	ZNF883
GO_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO_INTRINSIC_COMPONENT_OF_ENDOPLASMIC_RETICULUM_MEMBRANE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO_INTRINSIC_COMPONENT_OF_MITOCHONDRIAL_MEMBRANE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
GO_INTRINSIC_COMPONENT_OF_ORGANELLE_MEMBRANE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	11	0	0	0	0	0	0	0	0	7	0	0
GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	8	13	46	33	27	4	0	5	4	6	0	4	33	14	65	69	43	22	32	46	4	0	0	5	5	0	12	16	32	9	19	10	49	46	5	60	64	13	28	23	52	0	23	13	53	35	29	45	40	11	16	21	0	46	5	13	43	48	70	47	6	9	58	16	0	0	18	19	3	21	0	28	3	7
GO_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_DENSITY_MEMBRANE	0	0	0	3	0	0	0	0	0	0	0	0	3	0	3	5	0	0	0	4	0	0	0	0	0	0	2	0	2	0	0	0	3	0	0	6	6	0	0	0	3	0	0	2	5	0	3	4	0	0	0	0	0	4	0	0	4	4	6	3	0	0	5	2	0	0	0	0	0	2	0	4	0	0
GO_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_MEMBRANE	2	0	5	4	0	0	0	2	0	0	2	0	5	0	6	8	5	3	0	7	0	0	0	0	2	0	2	0	3	0	0	0	6	4	0	9	10	2	0	0	6	3	0	3	9	5	3	6	5	2	0	0	0	6	0	2	7	6	9	7	0	2	8	2	0	0	2	0	0	0	0	5	0	0
GO_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	0	2	0	4	0	0	0	0	0	0	0	0	4	0	4	6	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	7	6	0	0	0	3	0	0	2	6	0	3	5	0	0	0	0	0	4	0	0	4	4	7	3	0	0	6	2	0	0	0	0	0	2	0	4	0	0
GO_INTRINSIC_COMPONENT_OF_PRESYNAPTIC_MEMBRANE	0	2	5	0	0	0	0	0	0	0	0	0	3	0	7	7	6	3	3	5	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	6	8	0	0	0	6	0	0	0	7	4	0	5	3	2	0	0	0	4	0	0	4	5	6	6	0	2	6	2	0	0	0	0	0	2	0	3	0	0
GO_INTRINSIC_COMPONENT_OF_SYNAPTIC_MEMBRANE	2	3	7	4	0	0	0	2	0	0	2	0	5	0	9	11	7	3	4	8	0	0	0	0	2	0	3	0	0	0	0	0	8	5	2	11	13	2	0	0	9	3	0	3	10	6	0	7	5	3	0	0	0	7	0	2	8	7	11	9	0	2	10	3	0	0	0	0	0	3	0	6	0	0
