	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEY1	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZNF382	ZNF492	ZNF519	ZNF846
GO_ACTION_POTENTIAL	3	5	6	5	0	14	12	6	5	0	4	0	0	0	0	4	0	3	6	0	10	10	2	4	5	8	4	3	7	7	3	8	0	3	6	0	3	0	8	11	9	9	0	0	6	3	5
GO_ADENYL_NUCLEOTIDE_BINDING	14	26	23	24	25	38	36	32	17	24	36	10	0	11	13	26	0	0	27	38	33	38	0	18	15	37	0	0	42	18	17	28	33	0	34	0	0	38	44	45	28	37	11	0	15	0	31
GO_ADULT_BEHAVIOR	5	6	5	6	8	11	10	9	6	0	7	3	0	0	0	4	2	3	7	5	9	9	4	5	3	11	3	2	12	6	5	12	8	2	7	0	0	8	9	12	9	10	3	2	0	4	6
GO_AXON	14	45	17	16	31	45	51	31	13	18	32	9	0	13	9	15	6	17	34	32	39	51	8	18	12	36	13	4	38	16	18	26	28	11	42	0	10	34	40	47	32	39	9	9	15	20	25
GO_AXON_DEVELOPMENT	8	28	10	12	17	39	36	22	9	16	23	0	3	7	6	16	5	11	25	24	29	24	6	12	6	29	8	4	29	10	14	19	20	6	21	0	6	26	26	38	20	27	6	8	8	11	13
GO_BEHAVIOR	9	22	10	9	20	25	30	19	11	12	20	8	3	6	5	11	5	11	24	18	27	30	9	11	11	24	0	4	29	14	15	25	18	4	20	3	6	24	26	33	22	30	7	7	0	13	20
GO_BIOLOGICAL_ADHESION	13	38	22	23	30	48	45	40	19	28	33	8	6	9	18	26	8	0	40	37	49	50	0	22	16	45	17	7	38	34	23	36	32	9	37	6	0	48	43	56	41	48	14	13	17	16	24
GO_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	2	0	3	2	4	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	3	0	0	2	4	0	3	0	0	0	2	0	0	0	4	0	0	0	3	0	6	0	2	2	0	0
GO_CALCIUM_ION_BINDING	12	23	12	13	19	21	29	17	0	16	17	10	7	7	9	9	5	9	22	23	23	23	7	10	9	28	0	8	0	18	0	16	15	5	22	5	6	19	23	35	21	28	7	9	13	12	13
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0	6	0	0	5	7	10	0	0	0	5	0	0	2	3	0	0	4	4	0	9	8	2	0	0	6	0	0	0	9	4	4	0	3	6	0	3	7	5	7	7	7	0	4	3	3	4
GO_CARDIAC_CONDUCTION	3	0	4	7	7	10	15	5	0	0	8	2	0	0	0	5	0	5	5	6	10	12	0	6	4	9	5	0	11	8	6	8	6	2	10	0	0	7	11	14	6	11	0	4	4	7	8
GO_CATION_CHANNEL_ACTIVITY	4	17	17	11	15	31	28	14	5	7	18	0	0	0	6	10	4	11	16	12	23	26	7	13	9	20	9	0	17	14	11	19	8	0	18	0	7	15	21	27	20	21	4	6	8	11	14
