	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEY1	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZNF382	ZNF492	ZNF519	ZNF846
GO_ACTION_POTENTIAL	1	1	1	1	1	0.0618019608488	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ADENYL_NUCLEOTIDE_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.316643986225	1	1	1	1	1	1	1	1
GO_ADULT_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.314309242343	1	1	0.0710404693906	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AXON	0.795415563402	0.0	1	1	0.0	0.0	0.0	5.85824198351e-06	1	1	0.0	1	1	0.295261114308	1	1	1	0.374239835967	0.0	0.000687342640429	0.0	0.0	1	0.750997889822	1	0.0	1	1	0.0	1	0.606193172871	0.0449321314628	0.000175682811661	0.5604495709	0.0	1	1	0.0	0.0	0.0	5.90521243853e-05	0.0	1	1	1	0.00210436493028	0.00213274356249
GO_AXON_DEVELOPMENT	1	0.000142721826809	1	1	1	0.0	0.0	0.499318094556	1	1	0.0267179267137	1	1	1	1	1	1	1	0.0186408725204	0.554841854342	0.0089144961878	1	1	1	1	0.000212899981228	1	1	0.000169298592257	1	1	1	0.849899667127	1	1	1	1	0.0146231271637	0.00394511959438	0.0	1	0.109091862769	1	1	1	1	1
GO_BEHAVIOR	1	1	1	1	1	1	0.302691063883	1	1	1	1	1	1	1	1	1	1	1	0.865400698984	1	1	0.0660399145006	1	1	1	1	1	1	0.00397845451878	1	1	0.0561182643766	1	1	1	1	1	1	0.0590410340211	0.13029763933	1	0.0401712729508	1	1	1	1	1
GO_BIOLOGICAL_ADHESION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.965133538097	0.662441295957	1	1	1	0.319444454934	1	1	1	0.00500567342495	1	1	1	1	1	1	1	0.0117693904767	0.256220469795	1	1	1	1	1	1	1	1
GO_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.199174406174	1	1	1	1	1	1	1	1	1	1	1
GO_CALCIUM_ION_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.409064835496	1	1	1	1	1	1	1	1	1	1	1	1	1	0.471518732024	1	1	1	1	1	1	1
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.753013632821	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CARDIAC_CONDUCTION	1	1	1	1	1	1	0.0439340646572	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CATION_CHANNEL_ACTIVITY	1	1	0.000190570374421	1	0.690600040375	0.0	0.0	1	1	1	0.0362674681092	1	1	1	1	1	1	1	1	1	0.00465732115543	4.0241962852e-05	1	0.759650845192	1	0.0336327119748	1	1	1	0.251613229853	1	0.0163468594803	1	1	0.541431438421	1	1	1	0.00173145431863	0.000527759871643	0.0166246772311	0.0917661018732	1	1	1	1	1
GO_CATION_CHANNEL_COMPLEX	1	0.729993443827	0.00442170501674	1	1	0.0275314527684	0.0627463839758	1	1	1	1	1	1	1	1	1	1	1	0.843746072483	1	1	0.0216825502038	1	1	1	0.00140354103548	1	1	1	0.919724039028	1	0.341935733342	1	1	1	1	1	1	1	0.0139689363484	1	1	1	1	1	1	1
GO_CATION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	0.348995785485	0.692133802538	0.0148324072164	1	1	1	0.673419819418	1	1	1	1	1	1	1	1	1	1	0.475299192088	1	1	1	1	1	1	1	0.0657414254463	1	0.218398713802	1	1	1	1	1	1	1	0.137512734164	1	1	1	1	1	1	1
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	0.406589884593	1	1	0.00178939690821	0.260048217217	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0157657745952	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.376115877185	1	1	1	1	1	1	1
GO_CATION_TRANSPORT	1	1	1	1	1	0.144719316932	0.0155099347218	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.612968672754	1	1	1	1	1	1	1	0.906025958428	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CELLULAR_COMPONENT_MORPHOGENESIS	1	0.0	1	1	1	0.0	1.6281564045e-05	0.4527753556	1	1	0.277326445084	1	1	1	1	1	1	1	0.000687138173845	0.386428934858	0.224730478524	1	1	1	1	0.0153055638768	1	1	5.30785580222e-06	1	1	1	0.0254333774582	1	1	1	1	0.0115656401499	0.0	0.0	1	0.571257902429	1	1	1	1	1
GO_CELL_BODY	1	0.0	1	1	0.224102009585	1.62593352235e-05	2.05628461643e-05	0.0594442581427	1	1	0.00053609808676	1	1	1	1	1	1	1	0.0100467085972	1	0.0277191000415	7.48015868013e-06	0.247568480098	1	1	0.000666558715681	1	1	0.0	1	1	0.000438193007913	3.406816711e-05	1	0.00165599236905	1	0.457648523595	0.000508526200905	0.0	3.66269389568e-05	0.000242588463717	0.0239640924811	1	1	1	0.627564705083	1
