	genes
NEUROG3	0
AGAP2-AS1	1
SNCAIP	2
FOXE3	3
PTH2R	3
SOGA3	4
IRX2	5
ASCL2	6
CAMKV	5
SCT	7
DISP2	4
FOXC2	3
FOXJ1	8
RDH16	4
HOXD4	5
CNIH2	9
CAPSL	3
MAFB	0
RIMBP2	0
MLXIPL	2
CHGA	6
RFX4	4
CA8	4
RORC	0
ARX	7
EBF1	9
BCRP3	1
ETV5	5
IGFBPL1	5
CEACAM6	1
RAB36	1
SLC18A1	8
CDKAL1	10
CDK5R2	6
SCG2	8
SLC32A1	1
HEPACAM2	7
CLCA1	8
INSM1	0
IRX1	9
LHX8	8
BCL2	2
VWA5B2	0
SLC30A8	3
PAX4	10
FBXL16	0
KCNK17	5
ALX4	1
PRDM8	10
GADD45G	0
ETS1	8
PRLHR	5
TNFRSF9	8
AMER3	8
ISL1	4
SST	5
PTGES3L-AARSD1	1
ASIC4	0
BAALC	1
CARNS1	8
GC	4
PTF1A	9
FAM13A-AS1	9
AK127224	5
CELF3	5
SYNPR	5
KCNB2	9
LOC145845	0
SCG3	6
SYT4	5
ASCL1	6
KCNA5	6
FRMPD1	9
RAPGEF4	9
EBF3	4
RASSF6	4
PRSS1	6
LINC00643	0
ANKRD65	7
GDAP1L1	0
NPR1	3
SSTR5	9
ETV1	5
ETV4	1
GHRL	10
MANEAL	4
FEV	4
CHGB	7
GPD1	4
HTRA1	4
SEZ6	10
LTB	7
TFAP2A	7
FOXP2	5
C1QL1	0
MLN	3
C2CD4B	6
RGS4	8
ITIH2	6
SLC6A17	6
HOXD1	6
SLC4A4	3
KIF19	8
G0S2	9
WNT1	1
LMX1B	2
CALB1	2
NEUROD1	5
KCNK16	6
NEUROD2	8
PRDM14	6
FUT5	3
PGM5	9
SOX3	0
SOX9	10
LHFPL4	6
DGKB	9
HLA-DQA2	4
ZMYND10	3
IGFN1	4
COL6A4P2	1
LIMCH1	5
PAX6	1
ACOT12	2
LOC389332	4
SUSD2	8
HRH3	10
MPPED1	9
GRIN3A	1
PRRT4	1
SERP2	4
VSTM2A	1
TTLL6	3
NFASC	3
HEY1	8
GAST	3
MMD2	8
LRRTM1	3
BSN	6
ANGPT2	10
LRRC10B	5
CORO2B	10
INHA	1
MIAT	10
TAC1	5
HIST1H2AC	0
MPV17L	3
ELAVL2	7
KCNH6	5
CPLX1	9
FBLL1	7
