	genes
RFX6	0
ST18	1
CNIH2	2
DACH1	1
KCNH6	3
TOX	4
ARX	4
DOK6	4
ASCL1	2
GCH1	2
INSM1	5
PGA5	5
NEUROD1	0
NKX2-2	0
SSTR2	3
CDK5R2	3
CELF3	3
KIF1A	4
LOC728392	0
NFASC	2
PCSK1N	0
SYT4	0
TMEM200A	4
MMRN1	4
E2F7	3
FEV	3
SLC18A1	3
BTBD17	0
CA8	0
IGFBPL1	0
MARCH4	0
CACNA2D1	0
AK092048	1
AMER3	0
ASIC4	2
GCK	2
MAP2	1
MAP6	2
NOL4	2
PDE2A	0
PSD	2
SCGB1A1	6
SCGN	3
SVOP	6
GATA2	4
FAM171B	4
KCNIP3	5
SCG2	0
BRS3	6
HMP19	5
TMEFF1	5
FOXP2	4
COL21A1	4
ATOH8	1
TMEM8C	1
NEUROD2	1
AGT	0
CPLX2	0
DPP10	3
ELAVL4	2
GNG4	4
MIAT	3
OR51E1	4
TAGLN3	1
SPIB	3
ARNT2	0
SDK1	0
ETV1	3
PGM5	6
ISL1	3
SGCD	3
LMX1A	4
LMX1B	2
BAALC	2
HES6	1
DUSP26	0
FAM126A	4
SUSD2	4
CENPE	3
CPB1	2
FAM105A	1
RGAG4	1
SST	3
SV2A	2
ADORA2A	0
ACTL6B	4
CELA3A	2
ENPP2	3
PPP1R1A	3
BHMT	3
CACNG4	0
CD200	0
DSCAML1	0
GRIK3	0
JAM3	4
LINC00643	1
LOC646903	0
MTSS1	3
OR51E2	0
RAPGEF4	3
RTN1	0
SIM1	5
SYT5	3
TNP1	5
VSTM2L	0
IGFN1	0
CAMKV	0
EVL	6
HEPACAM2	0
KCNK16	3
MMP2	0
MYT1	5
PTP4A3	3
SPTBN4	0
LOC642776	6
AF131837	5
CD52	4
SUCNR1	5
BRSK1	3
NOVA2	1
GPC5-AS1	5
FGF9	2
ASXL3	5
TTBK1	3
RBP1	0
PTCH1	1
TP73	0
COL12A1	4
ABCC8	2
TUBB4A	2
PCYT1B	2
FGF14	0
B3GAT1	3
CACNA1A	2
IGSF21	6
KCNH2	2
MIR7-3HG	6
MPP2	0
PCSK1	3
SAMD14	2
SFRP1	3
SPRED3	6
STMN2	3
CCDC162P	4
ID4	1
ADD2	4
NDRG4	2
DLL3	5
PRR18	0
GFRA1	4
AMPD3	0
C1QL1	2
AB074188	5
AL109792	5
CHGA	1
MAP1A	1
MAPK8IP1	3
FAM227A	2
BAIAP3	2
DENND2A	2
KCNH8	0
KCTD12	0
RAP1GAP2	1
RIIAD1	3
SCGB1C1	0
SIX2	5
S100A1	4
RUNDC3A	2
SRCIN1	4
TRPM2	2
ASCL2	2
SH3RF3	1
GHRL	4
WNK3	3
NREP	4
GFRA3	4
PROX1	6
PHYHIP	6
PDZD4	0
PHGR1	3
AKR1B1	0
GPC2	4
SCG3	3
WNK2	0
GABBR2	6
LINC00261	0
MAP1B	0
PAK7	2
PAX6	0
SSTR5-AS1	4
LZTS1	2
MDK	3
PLCL1	3
REEP2	2
ZNF492	6
CIT	3
CD300LF	4
TUB	0
SLC38A3	2
SEPT5-GP1BB	0
ST8SIA3	3
PLCG2	0
PRR5-ARHGAP8	6
MANEAL	1
CELSR2	3
PODXL2	3
FLT1	4
NCAM1	0
TMEM132B	4
USH1G	4
GNG2	4
NAV3	0
RGS9	2
SLC6A17	0
GRASP	0
LOC100188947	1
KCNB2	2
KIAA1324	2
CHGB	0
CCDC154	1
HOXB9	4
LINC00930	3
NR4A3	0
MEX3B	4
SBK1	2
SPARC	2
MS4A8	3
EPHB3	1
STX1A	4
MCF2L	0
ANKRD13B	1
KCNJ6	2
KIF19	0
LRRN2	0
RASD1	0
SDK2	2
POM121L10P	0
CD96	2
STARD9	1
BASP1	4
BOC	4
CERS1	3
CHST8	2
JAKMIP2	0
KCNJ11	0
LAPTM5	2
POU2F2	2
SLC16A12	4
SLC8A1	3
AK094786	5
AVPR1B	3
ACSS3	3
BCAT1	3
KCNJ2	1
FAM171A2	1
EDAR	3
NAT8L	0
PDZRN3	0
CACNA1C	6
CYMP	0
SCN2A	1
SSTR1	1
STXBP1	0
RUNX1T1	3
ST8SIA5	3
SYT14	3
NHLH1	1
CLIP3	3
CAMK2B	5
C7	6
CCDC74B	4
RIMBP2	2
GJD2	3
CSH1	6
RTN4RL1	0
ADCY2	4
CLPS	0
ARHGAP22	1
VASH2	1
PMP22	1
CXXC4	6
CD37	3
CCDC40	0
ZNF382	6
LRRC49	2
ZCCHC18	4
NKD1	3
SNAP25	3
USP41	6
RGS4	3
AK316321	2
PGA4	1
AKT3	0
CDHR1	2
CPA1	0
KCNMA1	5
TEKT2	2
RAB3C	4
JMJD1C-AS1	0
GAD2	0
XKR7	1
PTCHD2	5
PAX4	2
MUC15	0
EBF3	4
DPEP1	0
AP3B2	6
ITGBL1	3
CORO2B	1
FGF17	0
MYBPC3	3
TMSB15B	3
SSTR3	6
TMOD2	4
ANGPT2	2
VGF	3
AK123868	5
CRYBA2	5
LOC100129175	1
SEZ6	4
BRSK2	0
DDN	3
FSTL5	0
RET	0
RRAGD	0
TTC7B	2
CNGA4	4
LSP1	2
NKAIN1	3
LINC00617	5
STXBP5L	4
LONRF2	2
KIT	1
KLHL32	6
ACBD7	6
VAV3	1
FUT1	0
EFNB3	3
NACAD	3
VWA5B2	0
NHSL2	4
CPT1C	4
PEX5L	3
CCNA1	4
CTTNBP2	2
MSI1	1
MLLT11	0
MBOAT4	2
NPTX2	5
ATP6V1B1	6
CTPS1	3
SNED1	5
TPH1	4
SERPINI1	1
ELFN1	2
GDF11	0
BCL2	4
RGS5	2
ZDHHC11	6
GPRIN3	4
HECW2	6
APLP1	4
CACNA1H	0
PELI3	2
PLXNC1	0
RAB26	0
TUBA3FP	0
DNAJC12	0
STMN3	3
TAC3	0
ITGA7	0
UNC79	3
SLC25A53	0
MX1	5
PLCXD3	4
ACSL6	4
CRH	2
HSPA12A	2
LIMCH1	4
SLC12A5	5
FAM155B	3
PNMAL1	2
IGSF10	3
FAM181B	5
PCDHB10	5
HEYL	5
TMEM61	1
KLK12	2
DPF3	6
AK026379	2
STARD4-AS1	4
TET1	0
CHRM4	4
SRSF12	4
TMEM196	3
KIF5A	0
NKX6-1	5
SCN1B	1
CBFA2T3	0
RPL36A-HNRNPH2	2
AX746826	6
GNAO1	3
CABP7	4
LRRTM3	3
CES1	5
BGN	0
HCN4	0
NTNG2	3
FAM179A	5
ISLR2	3
SETBP1	1
DLL1	2
TMEM151B	3
TMEM158	0
CRMP1	4
IFI44L	1
FAM131B	3
GALNT16	0
TUBA1A	0
XAF1	6
WSCD1	4
ERO1LB	5
KCNH3	3
FAM110B	4
SLC6A16	4
SPINK4	2
RTEL1	3
KSR2	2
CABP4	0
GPR137C	3
SPON1	2
PCSK2	0
MED12L	0
CNTD2	1
DLG2	2
KIF5C	5
TENM2	0
CALY	6
LRAT	6
BAI1	5
CECR6	6
TMEM169	3
FFAR2	4
SLC30A8	4
CHRNB4	1
ST6GALNAC5	6
SAMD5	4
ROBO1	4
MYBPC2	4
ZFP69B	3
ANKRD45	3
CFC1	4
SV2B	2
CIB4	4
FSD1	3
CDHR3	6
AF070581	5
AMPH	3
CXCL12	0
ENTPD1	3
ANK2	3
FBXL16	5
PAK3	5
CDKN1C	0
PTHLH	3
LRP1B	3
ALAS2	3
TNFSF14	3
LRRC16B	5
ANKS1B	1
ADAMTSL1	4
NPSR1-AS1	2
MSH5	2
HGFAC	0
ATP1A3	0
MAPK4	2
GRIK5	4
ZDHHC8P1	1
ITPR1	4
VCAN	4
CRLF1	0
KCNG1	4
NPAS3	5
HRH3	5
CARTPT	5
PALMD	4
RSPH4A	6
CNR1	3
GLYATL3	6
FAXC	4
GPR162	3
PAPPA2	1
RAB39B	5
KAL1	5
CACNB2	6
CPE	6
ADM5	6
CSF1R	2
CACNA1B	5
PDE8B	4
EML1	0
LTBP2	4
ICA1L	2
CHRNB2	0
ADCY1	1
PTPRN	3
SPOCK3	4
LGR6	2
DQ583756	3
NEFM	4
CCDC150	2
LDHD	6
SYNM	5
AK056490	1
GPR148	4
GAP43	4
KIRREL3	4
TCP11X2	6
LOC100130557	6
CNGA3	4
MAP3K12	0
RD3	0
ATCAY	5
TUBB2B	6
CLSPN	3
ZCCHC12	1
MAPK12	4
HOPX	4
DOCK8	3
MUC5B	0
SLC22A13	0
TMEM178B	3
FLJ44955	6
NEURL	1
CSH2	1
LOC653513	5
PRELP	1
LOC729683	4
LINC00890	5
IFI44	1
LOC100996634	6
GABRB3	5
GGT5	1
ADCY5	3
UNC13A	1
BC042451	5
MURC	6
UBE2QL1	5
WDR17	3
GDF1	3
FAT3	6
SH2D3C	2
SH3RF3-AS1	0
MTUS2	2
UCHL1	5
KCNT2	4
UCN3	4
CPLX1	4
LOC441081	6
KIAA1456	6
FAM153A	5
SLC26A7	2
CRISPLD1	5
H1FX-AS1	2
DGKB	6
GDAP1	3
LIMD2	6
PCDHB16	1
BC033961	5
APOB	6
ATP8B2	1
TSPAN11	0
C2CD4A	1
ANKRD65	0
ZFR2	6
BC006435	6
LOC149134	6
BC019672	6
NPTXR	5
STK33	4
GPR112	5
GREB1	0
ARHGAP9	1
COL22A1	1
RSAD2	3
SYP	5
AK022997	5
DCX	5
L1TD1	0
MCOLN3	2
GPR173	2
GPR155	3
GRAP2	5
AK125301	6
PRKCG	0
CELF5	0
AK128619	6
TPPP3	2
AX746485	6
INSC	3
AK023417	6
UNQ2560	6
LAMP3	2
SORCS2	4
MAPK8IP2	5
INA	5
GPR142	0
APLN	4
SPON2	0
AK055694	6
CELA3B	1
LRFN1	0
CLEC4GP1	5
SPP1	1
CCDC88A	3
LSAMP	2
BEX1	5
CLCNKA	0
TMEM35	1
LOC100190986	6
ACTG1P4	6
CERKL	3
NEGR1	3
RPRML	0
LOC400891	1
GPR133	6
PRKD1	6
DZIP1	6
AK054990	5
GPR119	5
ITGA4	5
NEK10	4
KCNK17	2
LINC00494	0
SFMBT2	4
SPDYE6	6
TMEM59L	5
FAM71E2	0
TMEM145	6
DRD2	0
HBT8	6
SEPT3	5
PRPH	4
MAPK10	0
AK123332	6
MPPED1	0
SCN3A	5
CDK5R1	2
CADM2	4
FAM92B	4
CLGN	0
AK128153	5
COLQ	0
AK130076	6
SGOL1-AS1	1
SPDYE1	6
BAI2	1
BC033528	6
TDO2	5
FBN1	5
TTLL6	0
INSRR	0
OLFML2B	0
ADAM12	3
HSPB7	0
BSN	3
DQ600483	6
CLCN4	4
ADAMTSL2	4
MLN	4
OGFRL1	3
SGSM1	0
SDCBP2-AS1	6
CRISP3	0
KCNH7	2
AK5	6
DPYSL4	0
LOC644172	6
EPHA4	3
SDPR	1
IQCA1	0
FFAR1	5
DBC1	1
KCNMB2	6
WNT9A	1
FRMPD4	4
FAM19A5	1
FLJ38723	1
LOC100130000	6
CELSR3	0
EDIL3	3
PRRT3	1
PCDHB14	5
TFF2	2
AX746834	6
CEND1	0
LOC100128288	0
LOC100652999	0
LOC100216479	5
LPPR5	5
HERC5	4
HIST2H2BF	2
CYSLTR2	5
AK095045	5
LIN7A	2
TMEFF2	4
FMN2	6
PCDHB9	1
IFI27	2
ELOVL4	5
BC053580	6
SMKR1	6
LOC100507351	5
MMD2	3
YPEL1	1
CHL1	0
RNF157-AS1	0
BC041484	1
CLSTN2	5
DCHS1	0
SLC14A2	2
LOC100506585	0
ASIC5	5
LOC642366	5
SPDYE8P	6
AK056486	5
ABCA9	2
STARD8	5
AK025511	4
BC022892	6
TMEM189-UBE2V1	0
TTLL7	2
PPM1E	0
NAIP	6
SYN1	3
FLJ22184	6
KCNK3	0
AX746995	1
PTPRT	4
AX748292	4
FAM167A	4
EPHA8	3
PGM5P2	5
NOV	1
LOC100527964	6
AX747639	6
FLJ31662	5
DIRAS1	5
TMEM56-RWDD3	0
BEND5	1
DKFZP434K028	6
AX746617	6
NPY	5
BST2	6
RASAL1	4
GPR64	5
RSPH10B2	4
LINC00340	6
LQFBS-1	3
AFF2	1
KCNA6	5
ARHGEF25	1
AK125437	1
